pair_ID	entailment_judgment	relatedness_score
6	NEUTRAL	2.627
7	NEUTRAL	3.434
8	NEUTRAL	2.947
10	ENTAILMENT	4.553
11	NEUTRAL	4.087
13	CONTRADICTION	3.257
15	NEUTRAL	3.171
16	NEUTRAL	2.709
17	NEUTRAL	2.787
19	ENTAILMENT	4.252
20	CONTRADICTION	3.642
21	ENTAILMENT	4.193
22	ENTAILMENT	4.575
23	CONTRADICTION	4.065
27	NEUTRAL	2.17
29	NEUTRAL	2.68
31	CONTRADICTION	3.756
32	ENTAILMENT	4.007
33	ENTAILMENT	4.074
34	NEUTRAL	3.868
36	NEUTRAL	2.931
37	NEUTRAL	3.296
38	NEUTRAL	3.17
39	NEUTRAL	3.022
41	ENTAILMENT	4.592
43	ENTAILMENT	4.609
46	NEUTRAL	3.266
48	NEUTRAL	3.219
50	NEUTRAL	3.484
51	NEUTRAL	3.532
52	ENTAILMENT	4.396
53	NEUTRAL	3.969
54	NEUTRAL	3.961
57	NEUTRAL	3.231
59	NEUTRAL	3.628
60	NEUTRAL	3.515
61	NEUTRAL	3.402
63	NEUTRAL	4.13
64	CONTRADICTION	3.716
66	NEUTRAL	3.774
67	CONTRADICTION	4.006
68	NEUTRAL	3.624
69	CONTRADICTION	4.183
71	CONTRADICTION	3.535
74	ENTAILMENT	4.158
75	NEUTRAL	3.669
76	ENTAILMENT	4.022
80	NEUTRAL	2.741
86	NEUTRAL	2.856
89	ENTAILMENT	4.471
92	NEUTRAL	2.64
95	NEUTRAL	2.716
96	NEUTRAL	2.611
101	NEUTRAL	3.669
102	NEUTRAL	3.964
103	NEUTRAL	3.874
104	NEUTRAL	3.855
106	NEUTRAL	3.827
108	ENTAILMENT	4.384
109	NEUTRAL	3.037
110	ENTAILMENT	4.189
111	NEUTRAL	3.716
114	NEUTRAL	2.232
115	NEUTRAL	1.969
118	ENTAILMENT	4.2
121	ENTAILMENT	4.305
123	NEUTRAL	3.118
125	NEUTRAL	3.051
128	NEUTRAL	3.118
132	CONTRADICTION	3.639
134	NEUTRAL	3.833
135	NEUTRAL	3.305
137	NEUTRAL	2.887
138	NEUTRAL	1.397
142	ENTAILMENT	3.87
143	CONTRADICTION	4.273
144	NEUTRAL	3.162
145	NEUTRAL	1.678
147	NEUTRAL	2.912
149	ENTAILMENT	4.361
151	ENTAILMENT	4.385
152	CONTRADICTION	3.559
