pair_ID	entailment_judgment	relatedness_score
6	NA	2.2131443	0.8032860574856546
7	NA	2.2325885	0.8081471454251832
8	NA	2.5786712	0.8946677979342458
10	NA	2.9961693	0.9990423157825192
11	NA	2.9986253	0.9996562979428671
13	NA	2.1010072	0.7752518287458446
15	NA	1.8317015	0.707925374775707
16	NA	1.4633014	0.6158253481092221
17	NA	1.4300435	0.6075108756906495
19	NA	2.989375	0.9973437555687329
20	NA	2.8630037	0.9657509044787838
21	NA	2.8647163	0.9661790457798162
22	NA	2.7231596	0.930789880355669
23	NA	2.8171296	0.9542823852318932
27	NA	2.4721622	0.8680405683509236
29	NA	2.429622	0.8574054795948242
31	NA	2.675598	0.9188995049382384
32	NA	2.699868	0.9249669620312369
33	NA	2.879502	0.969875492899653
34	NA	2.951109	0.9877772177333433
36	NA	2.3846912	0.8461727806945185
37	NA	2.3451877	0.8362969167719181
38	NA	2.5313692	0.8828423268839821
39	NA	2.2388415	0.8097103670819007
41	NA	2.9848955	0.9962238817053582
43	NA	2.9576678	0.9894169395320644
46	NA	2.1689525	0.7922380884940698
48	NA	2.1359928	0.7839982015422603
50	NA	2.1399367	0.7849841825848786
51	NA	2.1161518	0.7790379307459394
52	NA	2.982033	0.9955082364913715
53	NA	2.9851954	0.9962988486727946
54	NA	1.7529365	0.6882341124607663
57	NA	2.7812283	0.9453071034331659
59	NA	2.780332	0.945082998144783
60	NA	2.7766027	0.9441506568662479
61	NA	1.7465438	0.6866359353306034
63	NA	2.9884453	0.9971113183592022
64	NA	2.6361861	0.9090465367482509
66	NA	2.4138942	0.8534735429991979
67	NA	2.8174381	0.9543595068906073
68	NA	2.6043272	0.9010818078821267
69	NA	2.5556939	0.8889234738892329
71	NA	2.708533	0.9271332859114437
74	NA	2.9767065	0.9941766299847772
75	NA	2.7439244	0.9359811058961349
76	NA	2.8124475	0.9531118916826384
80	NA	2.3727777	0.8431944056058144
86	NA	2.2625914	0.8156478659594636
89	NA	2.9952638	0.9988159375187058
92	NA	2.149521	0.7873802604680542
