pair_ID	entailment_judgment	relatedness_score
6	NA	2.898
7	NA	4.063
8	NA	3.469
10	NA	4.211
11	NA	4.096
13	NA	4.447
15	NA	3.36
16	NA	3.341
17	NA	3.013
19	NA	4.319
20	NA	4.29
21	NA	4.312
22	NA	4.544
23	NA	4.103
27	NA	3.14
29	NA	3.416
31	NA	4.161
32	NA	4.037
33	NA	4.099
34	NA	3.535
36	NA	2.549
37	NA	2.712
38	NA	2.88
39	NA	2.719
41	NA	3.902
43	NA	3.578
46	NA	3.363
48	NA	3.007
50	NA	3.607
51	NA	3.661
52	NA	4.089
53	NA	3.74
54	NA	4.177
57	NA	3.815
59	NA	3.945
60	NA	3.798
61	NA	3.033
63	NA	4.271
64	NA	3.919
66	NA	4.135
67	NA	4.049
68	NA	3.775
69	NA	4.185
71	NA	3.354
74	NA	4.163
75	NA	4.373
76	NA	4.159
80	NA	2.953
86	NA	3.21
89	NA	4.374
92	NA	2.956
95	NA	2.953
96	NA	2.704
101	NA	4.024
102	NA	3.952
103	NA	3.466
104	NA	3.784
106	NA	3.726
108	NA	4.113
109	NA	3.097
110	NA	3.865
111	NA	4.09
114	NA	2.493
115	NA	3.238
118	NA	5.069
121	NA	4.183
123	NA	3.564
125	NA	3.621
128	NA	3.599
132	NA	3.861
134	NA	3.912
135	NA	3.295
137	NA	2.885
138	NA	2.87
142	NA	4.191
143	NA	4.166
144	NA	3.039
145	NA	2.721
147	NA	2.581
149	NA	3.374
151	NA	4.299
152	NA	3.926
153	NA	4.397
154	NA	4.551
155	NA	3.759
156	NA	3.847
157	NA	4.605
158	NA	4.39
160	NA	4.445
162	NA	3.611
165	NA	3.752
166	NA	4.008
167	NA	3.8
168	NA	3.616
169	NA	4.338
171	NA	3.704
172	NA	3.541
174	NA	3.508
175	NA	4.245
177	NA	3.508
178	NA	4.277
179	NA	3.599
180	NA	4.072
181	NA	3.976
182	NA	3.859
187	NA	3.736
189	NA	3.335
190	NA	3.534
191	NA	4.039
193	NA	3.878
195	NA	4.143
196	NA	3.845
198	NA	3.309
199	NA	3.78
203	NA	3.985
204	NA	2.944
206	NA	3.244
207	NA	2.91
208	NA	3.167
209	NA	3.476
210	NA	3.858
212	NA	4.508
213	NA	2.475
214	NA	2.853
220	NA	4.039
221	NA	4.113
222	NA	3.915
229	NA	4.401
230	NA	3.995
231	NA	3.918
235	NA	2.972
239	NA	2.998
242	NA	4.026
243	NA	4.025
244	NA	3.992
245	NA	3.927
246	NA	3.812
247	NA	3.742
250	NA	3.782
251	NA	3.848
252	NA	3.766
255	NA	4.158
261	NA	3.122
262	NA	4.158
263	NA	3.748
264	NA	4.386
267	NA	3.363
268	NA	3.17
270	NA	3.228
271	NA	3.479
274	NA	4.199
275	NA	3.743
278	NA	2.832
281	NA	2.639
282	NA	4.029
284	NA	4.238
288	NA	3.128
290	NA	3.107
292	NA	3.483
294	NA	4.086
295	NA	3.185
297	NA	3.043
298	NA	2.941
299	NA	3.465
300	NA	4.403
306	NA	3.514
307	NA	3.518
308	NA	3.665
314	NA	5.045
316	NA	2.194
318	NA	3.579
319	NA	2.871
320	NA	2.686
321	NA	2.784
322	NA	4.324
324	NA	3.735
325	NA	3.548
326	NA	3.056
328	NA	3.029
330	NA	3.029
334	NA	4.294
336	NA	3.343
337	NA	3.035
343	NA	3.905
345	NA	3.167
348	NA	3.142
349	NA	3.083
350	NA	3.082
352	NA	4.211
353	NA	4.274
355	NA	4.327
356	NA	2.878
357	NA	3.368
359	NA	2.831
364	NA	4.043
365	NA	4.538
368	NA	3.876
369	NA	3.856
371	NA	4.279
376	NA	3.459
383	NA	4.114
385	NA	4.286
386	NA	4.187
388	NA	4.057
389	NA	3.899
399	NA	3.453
400	NA	3.525
401	NA	3.967
405	NA	4.103
406	NA	2.985
407	NA	3.251
408	NA	3.806
411	NA	5.003
412	NA	4.204
414	NA	4.487
416	NA	3.798
418	NA	3.663
419	NA	4.527
420	NA	3.596
421	NA	3.813
424	NA	4.799
425	NA	3.871
426	NA	4.572
429	NA	4.158
430	NA	4.2
431	NA	4.185
432	NA	4.611
433	NA	4.771
437	NA	2.471
443	NA	4.02
444	NA	4.898
445	NA	3.382
448	NA	3.527
452	NA	3.03
453	NA	4.05
455	NA	3.751
456	NA	3.532
458	NA	2.66
459	NA	3.001
460	NA	3.037
463	NA	4.196
464	NA	4.379
466	NA	3.845
467	NA	2.891
468	NA	3.043
469	NA	4.028
471	NA	3.832
472	NA	3.084
474	NA	4.679
478	NA	3.536
479	NA	3
480	NA	3.256
481	NA	3.976
482	NA	4.329
483	NA	3.714
487	NA	3.615
488	NA	3.312
490	NA	3.612
492	NA	3.565
493	NA	4.182
495	NA	3.48
498	NA	3.673
501	NA	3.533
502	NA	3.852
503	NA	3.883
504	NA	3.714
509	NA	3.402
510	NA	3.285
511	NA	3.955
512	NA	3.962
517	NA	4.28
518	NA	4.382
519	NA	4.213
521	NA	3.752
523	NA	2.823
525	NA	3.273
532	NA	3.928
533	NA	3.862
534	NA	3.161
536	NA	2.865
537	NA	3.316
539	NA	2.762
540	NA	2.665
543	NA	3.431
544	NA	3.873
546	NA	4.958
547	NA	3.491
549	NA	3.203
553	NA	3.087
554	NA	4.313
558	NA	4.082
559	NA	4.434
562	NA	3.529
563	NA	3.99
566	NA	3.949
567	NA	4.333
569	NA	4.309
571	NA	3.854
572	NA	4.465
573	NA	3.726
574	NA	3.994
575	NA	3.839
576	NA	4.084
577	NA	3.828
578	NA	3.847
579	NA	3.697
580	NA	4.273
582	NA	4.617
583	NA	4.436
584	NA	4.108
585	NA	4.252
589	NA	4.041
590	NA	4.832
591	NA	4.271
593	NA	4.812
594	NA	4.296
595	NA	3.407
596	NA	3.052
598	NA	3.153
600	NA	4.571
602	NA	3.77
607	NA	2.968
608	NA	3.044
610	NA	2.811
612	NA	3.061
613	NA	4.324
614	NA	3.667
615	NA	3.744
616	NA	4.477
618	NA	4.053
620	NA	3.363
623	NA	3.549
624	NA	3.653
627	NA	3.953
633	NA	3.298
635	NA	3.318
636	NA	2.854
639	NA	4.541
640	NA	4.274
642	NA	4.269
644	NA	4.243
652	NA	4.51
654	NA	3.867
656	NA	4.629
658	NA	3.834
659	NA	3.28
662	NA	3.647
664	NA	3.291
665	NA	4.744
666	NA	3.983
667	NA	4.43
669	NA	4.899
670	NA	3.327
673	NA	3.221
674	NA	3.033
675	NA	3.1
677	NA	4.548
681	NA	3.89
682	NA	3.625
683	NA	3.708
684	NA	3.613
686	NA	3.409
688	NA	3.93
694	NA	4.187
695	NA	3.199
700	NA	3.685
701	NA	3.333
705	NA	4.12
706	NA	3.551
707	NA	4.097
708	NA	3.531
710	NA	3.364
711	NA	2.325
712	NA	3.135
713	NA	4.308
714	NA	3.7
716	NA	3.779
