pair_ID	entailment_judgment	relatedness_score
6	NEUTRAL	1.0
7	NEUTRAL	1.0
8	NEUTRAL	1.0
10	ENTAILMENT	4.6
11	NEUTRAL	3.8
13	ENTAILMENT	4.6
15	NEUTRAL	1.0
16	NEUTRAL	1.0
17	NEUTRAL	1.0
19	NEUTRAL	1.0
20	ENTAILMENT	5.0
21	CONTRADICTION	3.8
22	ENTAILMENT	4.6
23	NEUTRAL	3.8
27	NEUTRAL	1.0
29	NEUTRAL	1.0
31	ENTAILMENT	4.6
32	ENTAILMENT	4.6
33	ENTAILMENT	5.0
34	NEUTRAL	1.0
36	NEUTRAL	1.0
37	NEUTRAL	1.0
38	NEUTRAL	1.0
39	NEUTRAL	1.0
41	NEUTRAL	3.8
43	CONTRADICTION	3.8
46	NEUTRAL	1.0
48	NEUTRAL	1.0
50	NEUTRAL	1.0
51	NEUTRAL	1.0
52	NEUTRAL	3.8
53	ENTAILMENT	4.6
54	ENTAILMENT	3.8
57	NEUTRAL	1.0
59	NEUTRAL	3.8
60	NEUTRAL	1.0
61	NEUTRAL	1.0
63	NEUTRAL	3.8
64	ENTAILMENT	5.0
66	NEUTRAL	3.8
67	NEUTRAL	3.8
68	NEUTRAL	1.0
69	NEUTRAL	3.8
71	NEUTRAL	3.8
74	NEUTRAL	3.8
75	NEUTRAL	1.0
76	NEUTRAL	1.0
80	NEUTRAL	1.0
86	NEUTRAL	1.0
89	ENTAILMENT	4.6
92	NEUTRAL	1.0
95	NEUTRAL	1.0
96	NEUTRAL	1.0
101	NEUTRAL	1.0
102	NEUTRAL	3.8
103	NEUTRAL	3.8
104	NEUTRAL	1.0
106	NEUTRAL	3.8
108	NEUTRAL	3.8
109	NEUTRAL	1.0
110	NEUTRAL	1.0
111	NEUTRAL	3.8
114	NEUTRAL	1.0
115	NEUTRAL	1.0
118	NEUTRAL	3.8
121	NEUTRAL	3.8
123	NEUTRAL	1.0
125	NEUTRAL	1.0
128	NEUTRAL	1.0
132	CONTRADICTION	3.8
134	NEUTRAL	3.8
135	NEUTRAL	1.0
137	NEUTRAL	1.0
138	NEUTRAL	1.0
142	NEUTRAL	3.8
143	NEUTRAL	3.8
144	NEUTRAL	1.0
145	NEUTRAL	1.0
147	NEUTRAL	1.0
149	NEUTRAL	3.8
151	ENTAILMENT	4.6
152	CONTRADICTION	3.8
153	ENTAILMENT	4.6
154	CONTRADICTION	3.8
155	NEUTRAL	3.8
156	CONTRADICTION	1.0
157	CONTRADICTION	3.8
158	NEUTRAL	3.8
160	ENTAILMENT	4.6
162	NEUTRAL	1.0
165	NEUTRAL	1.0
166	NEUTRAL	1.0
167	ENTAILMENT	3.8
168	NEUTRAL	3.8
169	ENTAILMENT	4.6
171	CONTRADICTION	3.8
172	NEUTRAL	3.8
174	NEUTRAL	3.8
175	ENTAILMENT	4.6
177	NEUTRAL	3.8
178	NEUTRAL	3.8
179	NEUTRAL	3.8
180	CONTRADICTION	3.8
181	NEUTRAL	3.8
182	NEUTRAL	1.0
187	NEUTRAL	1.0
189	NEUTRAL	1.0
190	NEUTRAL	1.0
191	NEUTRAL	3.8
193	NEUTRAL	1.0
195	NEUTRAL	3.8
196	NEUTRAL	3.8
198	NEUTRAL	3.8
199	NEUTRAL	3.8
203	NEUTRAL	1.0
204	NEUTRAL	1.0
206	NEUTRAL	1.0
207	NEUTRAL	1.0
208	NEUTRAL	1.0
209	NEUTRAL	2.6
210	NEUTRAL	1.0
212	ENTAILMENT	4.6
213	NEUTRAL	1.0
214	NEUTRAL	1.0
220	NEUTRAL	3.8
221	NEUTRAL	3.8
222	CONTRADICTION	3.8
229	ENTAILMENT	4.6
230	ENTAILMENT	4.6
231	ENTAILMENT	4.6
235	NEUTRAL	1.0
239	NEUTRAL	1.0
242	NEUTRAL	3.8
243	NEUTRAL	3.8
244	CONTRADICTION	1.0
245	CONTRADICTION	3.8
246	NEUTRAL	1.0
247	NEUTRAL	3.8
250	NEUTRAL	3.8
251	NEUTRAL	3.8
252	NEUTRAL	3.8
255	NEUTRAL	3.8
261	NEUTRAL	1.0
262	ENTAILMENT	4.6
263	NEUTRAL	3.8
264	ENTAILMENT	4.6
267	NEUTRAL	1.0
268	NEUTRAL	1.0
270	NEUTRAL	1.0
271	NEUTRAL	1.0
274	ENTAILMENT	4.6
275	NEUTRAL	1.0
278	NEUTRAL	1.0
281	NEUTRAL	1.0
282	ENTAILMENT	4.6
284	NEUTRAL	3.8
288	NEUTRAL	1.0
290	NEUTRAL	1.0
292	NEUTRAL	3.8
294	NEUTRAL	3.8
295	NEUTRAL	1.0
297	NEUTRAL	1.0
298	NEUTRAL	1.0
299	NEUTRAL	1.0
300	NEUTRAL	3.8
306	NEUTRAL	1.0
307	NEUTRAL	1.0
308	NEUTRAL	1.0
314	CONTRADICTION	3.8
316	NEUTRAL	1.0
318	NEUTRAL	1.0
319	NEUTRAL	1.0
320	NEUTRAL	1.0
321	NEUTRAL	1.0
322	ENTAILMENT	4.6
324	NEUTRAL	3.8
325	NEUTRAL	3.8
326	NEUTRAL	1.0
328	NEUTRAL	1.0
330	NEUTRAL	1.0
334	NEUTRAL	1.0
