pair_ID	relatedness_score	entailment_judgment
6	NA	NEUTRAL
7	NA	NEUTRAL
8	NA	NEUTRAL
10	NA	ENTAILMENT
11	NA	ENTAILMENT
13	NA	CONTRADICTION
15	NA	NEUTRAL
16	NA	NEUTRAL
17	NA	NEUTRAL
19	NA	ENTAILMENT
20	NA	CONTRADICTION
21	NA	ENTAILMENT
22	NA	ENTAILMENT
23	NA	CONTRADICTION
27	NA	NEUTRAL
29	NA	NEUTRAL
31	NA	CONTRADICTION
32	NA	ENTAILMENT
33	NA	ENTAILMENT
34	NA	NEUTRAL
36	NA	NEUTRAL
37	NA	NEUTRAL
38	NA	NEUTRAL
39	NA	NEUTRAL
41	NA	NEUTRAL
43	NA	ENTAILMENT
46	NA	NEUTRAL
48	NA	NEUTRAL
50	NA	NEUTRAL
51	NA	NEUTRAL
52	NA	ENTAILMENT
53	NA	ENTAILMENT
54	NA	NEUTRAL
57	NA	NEUTRAL
59	NA	ENTAILMENT
60	NA	NEUTRAL
61	NA	NEUTRAL
63	NA	ENTAILMENT
64	NA	CONTRADICTION
66	NA	NEUTRAL
67	NA	CONTRADICTION
68	NA	NEUTRAL
69	NA	CONTRADICTION
71	NA	CONTRADICTION
74	NA	ENTAILMENT
75	NA	ENTAILMENT
76	NA	NEUTRAL
80	NA	NEUTRAL
86	NA	NEUTRAL
89	NA	ENTAILMENT
92	NA	NEUTRAL
95	NA	NEUTRAL
96	NA	NEUTRAL
101	NA	ENTAILMENT
102	NA	NEUTRAL
103	NA	NEUTRAL
104	NA	NEUTRAL
106	NA	NEUTRAL
108	NA	NEUTRAL
109	NA	NEUTRAL
110	NA	ENTAILMENT
111	NA	NEUTRAL
114	NA	NEUTRAL
115	NA	NEUTRAL
118	NA	ENTAILMENT
121	NA	ENTAILMENT
123	NA	NEUTRAL
125	NA	NEUTRAL
128	NA	NEUTRAL
132	NA	CONTRADICTION
134	NA	ENTAILMENT
135	NA	NEUTRAL
137	NA	NEUTRAL
138	NA	NEUTRAL
142	NA	NEUTRAL
143	NA	CONTRADICTION
144	NA	NEUTRAL
145	NA	NEUTRAL
147	NA	NEUTRAL
149	NA	ENTAILMENT
151	NA	ENTAILMENT
152	NA	CONTRADICTION
153	NA	ENTAILMENT
154	NA	CONTRADICTION
155	NA	NEUTRAL
156	NA	CONTRADICTION
157	NA	ENTAILMENT
158	NA	ENTAILMENT
160	NA	NEUTRAL
162	NA	NEUTRAL
165	NA	NEUTRAL
166	NA	NEUTRAL
167	NA	ENTAILMENT
168	NA	ENTAILMENT
169	NA	ENTAILMENT
171	NA	ENTAILMENT
172	NA	ENTAILMENT
174	NA	ENTAILMENT
175	NA	ENTAILMENT
177	NA	ENTAILMENT
178	NA	ENTAILMENT
179	NA	NEUTRAL
180	NA	ENTAILMENT
181	NA	ENTAILMENT
182	NA	NEUTRAL
187	NA	NEUTRAL
189	NA	NEUTRAL
190	NA	NEUTRAL
191	NA	NEUTRAL
193	NA	NEUTRAL
195	NA	NEUTRAL
196	NA	NEUTRAL
198	NA	NEUTRAL
199	NA	NEUTRAL
203	NA	NEUTRAL
204	NA	NEUTRAL
206	NA	NEUTRAL
207	NA	NEUTRAL
208	NA	NEUTRAL
209	NA	NEUTRAL
210	NA	CONTRADICTION
212	NA	ENTAILMENT
213	NA	NEUTRAL
214	NA	NEUTRAL
220	NA	ENTAILMENT
221	NA	ENTAILMENT
222	NA	ENTAILMENT
229	NA	ENTAILMENT
230	NA	CONTRADICTION
231	NA	ENTAILMENT
235	NA	NEUTRAL
239	NA	NEUTRAL
242	NA	ENTAILMENT
243	NA	ENTAILMENT
244	NA	CONTRADICTION
245	NA	ENTAILMENT
246	NA	NEUTRAL
247	NA	CONTRADICTION
250	NA	NEUTRAL
251	NA	NEUTRAL
252	NA	ENTAILMENT
255	NA	ENTAILMENT
261	NA	NEUTRAL
262	NA	ENTAILMENT
263	NA	ENTAILMENT
264	NA	ENTAILMENT
267	NA	NEUTRAL
268	NA	NEUTRAL
270	NA	NEUTRAL
271	NA	NEUTRAL
274	NA	ENTAILMENT
