pair_ID	entailment_judgment	relatedness_score
6	CONTRADICTION	2.903976
7	NEUTRAL	3.900953
8	NEUTRAL	3.414855
10	ENTAILMENT	4.418201
11	NEUTRAL	4.158128
13	CONTRADICTION	3.763881
15	NEUTRAL	1.164727
16	NEUTRAL	2.923056
17	NEUTRAL	3.218230
19	NEUTRAL	4.426188
20	NEUTRAL	3.844283
21	ENTAILMENT	3.871768
22	ENTAILMENT	4.868689
23	ENTAILMENT	4.420157
27	NEUTRAL	2.694462
29	NEUTRAL	3.072906
31	CONTRADICTION	3.610156
32	ENTAILMENT	3.986688
33	NEUTRAL	3.907121
34	NEUTRAL	3.521334
36	NEUTRAL	2.083721
37	NEUTRAL	3.765837
38	NEUTRAL	3.131688
39	NEUTRAL	3.635235
41	ENTAILMENT	3.853288
43	ENTAILMENT	4.043497
46	NEUTRAL	3.501066
48	ENTAILMENT	2.736212
50	NEUTRAL	3.372043
51	ENTAILMENT	3.333034
52	NEUTRAL	4.367422
53	NEUTRAL	3.932383
54	NEUTRAL	3.706465
57	NEUTRAL	3.313213
59	NEUTRAL	3.474173
60	NEUTRAL	3.340160
61	NEUTRAL	3.023749
63	NEUTRAL	3.617337
64	CONTRADICTION	3.667694
66	NEUTRAL	3.834937
67	CONTRADICTION	3.999547
68	NEUTRAL	3.175763
69	CONTRADICTION	3.519950
71	NEUTRAL	3.501334
74	ENTAILMENT	4.396067
75	NEUTRAL	3.875841
76	ENTAILMENT	3.420520
80	NEUTRAL	2.584642
86	NEUTRAL	2.157103
89	ENTAILMENT	4.215893
92	NEUTRAL	1.879877
95	NEUTRAL	3.064113
96	NEUTRAL	2.205927
101	ENTAILMENT	4.270985
102	NEUTRAL	4.025232
103	NEUTRAL	3.755754
104	NEUTRAL	3.544338
106	NEUTRAL	3.662342
108	NEUTRAL	3.791813
109	NEUTRAL	3.520587
110	ENTAILMENT	3.827560
111	ENTAILMENT	3.679835
114	NEUTRAL	3.097533
115	NEUTRAL	2.424236
118	NEUTRAL	4.168508
121	ENTAILMENT	4.166658
123	NEUTRAL	2.766172
125	NEUTRAL	3.144834
128	NEUTRAL	2.696058
132	CONTRADICTION	3.868431
134	NEUTRAL	3.560671
135	NEUTRAL	2.626164
137	NEUTRAL	2.895669
138	NEUTRAL	2.593259
142	NEUTRAL	4.257037
143	ENTAILMENT	3.926967
144	NEUTRAL	3.423665
145	NEUTRAL	1.520788
147	NEUTRAL	2.577400
149	NEUTRAL	4.418057
151	NEUTRAL	4.464156
152	CONTRADICTION	3.202149
153	NEUTRAL	4.047429
154	CONTRADICTION	3.299897
155	ENTAILMENT	4.016495
156	CONTRADICTION	3.586523
157	NEUTRAL	4.259329
158	ENTAILMENT	4.343169
160	NEUTRAL	4.339334
162	NEUTRAL	3.430832
165	NEUTRAL	3.164447
166	ENTAILMENT	3.149708
167	NEUTRAL	4.030028
168	NEUTRAL	3.332587
169	ENTAILMENT	4.401215
171	ENTAILMENT	4.105864
172	NEUTRAL	3.369123
174	NEUTRAL	3.312719
175	NEUTRAL	3.465653
177	NEUTRAL	3.267923
178	ENTAILMENT	3.284437
179	NEUTRAL	2.995160
180	ENTAILMENT	3.714582
181	NEUTRAL	3.746361
182	NEUTRAL	4.078249
187	NEUTRAL	3.111243
189	NEUTRAL	3.259320
190	NEUTRAL	3.109779
191	ENTAILMENT	4.651907
193	ENTAILMENT	3.523905
195	NEUTRAL	3.525549
196	ENTAILMENT	3.659406
198	CONTRADICTION	2.892071
199	CONTRADICTION	3.374251
203	NEUTRAL	3.348454
204	NEUTRAL	3.241262
206	NEUTRAL	3.620084
207	NEUTRAL	3.307119
208	NEUTRAL	3.633180
209	NEUTRAL	4.121344
210	CONTRADICTION	3.188746
212	NEUTRAL	3.792487
213	NEUTRAL	2.832677
214	NEUTRAL	2.848235
220	ENTAILMENT	4.262745
221	ENTAILMENT	4.195816
222	NEUTRAL	3.275048
229	ENTAILMENT	4.149980
230	CONTRADICTION	3.628640
231	ENTAILMENT	4.613693
235	NEUTRAL	2.252645
239	NEUTRAL	2.494545
242	NEUTRAL	4.199205
243	ENTAILMENT	3.039829
244	NEUTRAL	3.255328
245	ENTAILMENT	3.291125
246	NEUTRAL	2.637716
247	NEUTRAL	3.351248
250	ENTAILMENT	2.788749
251	NEUTRAL	3.305904
252	NEUTRAL	3.504449
255	ENTAILMENT	4.342087
261	NEUTRAL	2.856077
262	ENTAILMENT	4.069098
263	ENTAILMENT	3.847598
264	ENTAILMENT	3.655923
267	NEUTRAL	2.932052
268	NEUTRAL	3.050215
270	NEUTRAL	3.312701
271	NEUTRAL	2.930558
274	ENTAILMENT	4.069806
275	NEUTRAL	3.807978
278	NEUTRAL	3.084378
281	NEUTRAL	3.191793
282	ENTAILMENT	4.867706
284	ENTAILMENT	3.616917
288	NEUTRAL	2.930178
290	NEUTRAL	3.623388
292	NEUTRAL	3.305613
294	NEUTRAL	3.600806
295	NEUTRAL	3.271080
297	NEUTRAL	3.027601
298	NEUTRAL	3.064086
299	NEUTRAL	3.379068
300	NEUTRAL	4.216032
306	NEUTRAL	3.110233
307	NEUTRAL	3.596911
308	CONTRADICTION	2.868554
314	NEUTRAL	4.199809
316	NEUTRAL	2.323557
318	NEUTRAL	1.510708
319	NEUTRAL	2.163712
320	NEUTRAL	1.958796
321	NEUTRAL	1.982255
322	NEUTRAL	4.397754
324	ENTAILMENT	3.904312
325	CONTRADICTION	3.299325
326	NEUTRAL	1.708597
328	NEUTRAL	1.066071
330	NEUTRAL	1.034989
334	NEUTRAL	3.809633
336	ENTAILMENT	3.811943
337	NEUTRAL	1.290200
343	NEUTRAL	3.425022
345	NEUTRAL	3.106014
348	NEUTRAL	3.053279
349	NEUTRAL	2.778919
350	NEUTRAL	2.933983
352	CONTRADICTION	3.888244
353	NEUTRAL	4.176036
355	CONTRADICTION	3.674046
356	NEUTRAL	3.396781
357	CONTRADICTION	3.671927
359	NEUTRAL	3.435522
364	NEUTRAL	4.013915
365	ENTAILMENT	3.950408
368	NEUTRAL	3.409576
369	CONTRADICTION	3.238648
371	NEUTRAL	4.369035
376	NEUTRAL	2.961625
383	NEUTRAL	3.742040
385	ENTAILMENT	4.351483
386	NEUTRAL	3.838643
388	NEUTRAL	3.503662
389	NEUTRAL	3.330938
399	NEUTRAL	2.930354
400	NEUTRAL	3.388403
401	NEUTRAL	3.441952
405	NEUTRAL	3.780393
406	ENTAILMENT	2.609073
407	NEUTRAL	1.307700
408	ENTAILMENT	3.555180
411	ENTAILMENT	4.250368
412	NEUTRAL	3.913682
414	NEUTRAL	3.626952
416	NEUTRAL	3.569750
418	NEUTRAL	3.674647
419	NEUTRAL	3.651184
420	NEUTRAL	3.188994
421	NEUTRAL	3.352797
424	NEUTRAL	4.269080
425	NEUTRAL	3.216918
426	NEUTRAL	3.666507
429	NEUTRAL	3.501230
430	NEUTRAL	3.870524
431	NEUTRAL	3.198394
432	NEUTRAL	4.008796
433	NEUTRAL	4.045572
437	NEUTRAL	3.299389
443	NEUTRAL	4.287785
444	NEUTRAL	4.041728
445	ENTAILMENT	4.257173
448	NEUTRAL	3.904967
