pair_ID	entailment_judgment	relatedness_score
6	NEUTRAL	2.563577
7	NEUTRAL	3.230081
8	NEUTRAL	2.977657
10	ENTAILMENT	4.370769
11	NEUTRAL	4.207976
13	CONTRADICTION	3.610938
15	NEUTRAL	2.639411
16	NEUTRAL	1.918923
17	NEUTRAL	1.907333
19	ENTAILMENT	4.508562
20	CONTRADICTION	3.887218
21	ENTAILMENT	3.973153
22	ENTAILMENT	4.565722
23	CONTRADICTION	4.572423
27	NEUTRAL	2.425882
29	NEUTRAL	2.742565
31	CONTRADICTION	4.124031
32	ENTAILMENT	4.168144
33	NEUTRAL	3.988488
34	ENTAILMENT	3.914694
36	NEUTRAL	2.369699
37	NEUTRAL	3.089845
38	NEUTRAL	3.218941
39	NEUTRAL	2.576635
41	NEUTRAL	3.817373
43	ENTAILMENT	3.302376
46	NEUTRAL	2.397862
48	NEUTRAL	2.193877
50	NEUTRAL	2.944911
51	NEUTRAL	2.83388
52	ENTAILMENT	4.461159
53	NEUTRAL	3.766018
54	NEUTRAL	4.116829
57	NEUTRAL	3.215692
59	NEUTRAL	3.761883
60	NEUTRAL	3.728857
61	NEUTRAL	3.054899
63	ENTAILMENT	3.93594
64	CONTRADICTION	4.296
66	NEUTRAL	3.771187
67	CONTRADICTION	4.400169
68	NEUTRAL	3.58948
69	CONTRADICTION	3.982728
71	CONTRADICTION	4.153445
74	ENTAILMENT	4.365016
75	CONTRADICTION	3.970031
76	ENTAILMENT	4.000373
80	NEUTRAL	2.517074
86	NEUTRAL	2.93836
89	ENTAILMENT	4.300821
92	NEUTRAL	3.192108
95	NEUTRAL	3.182752
96	NEUTRAL	2.78297
101	CONTRADICTION	3.928683
102	NEUTRAL	3.744008
103	NEUTRAL	3.709232
104	NEUTRAL	3.757833
106	NEUTRAL	3.580025
108	NEUTRAL	3.82221
109	NEUTRAL	3.422285
110	NEUTRAL	4.002007
111	ENTAILMENT	4.29
114	NEUTRAL	3.157738
115	NEUTRAL	2.301086
118	ENTAILMENT	3.839588
121	ENTAILMENT	4.555933
123	NEUTRAL	2.79722
125	NEUTRAL	2.627285
128	NEUTRAL	2.816246
132	CONTRADICTION	4.08949
134	ENTAILMENT	4.393742
135	NEUTRAL	2.350208
137	NEUTRAL	2.789201
138	NEUTRAL	1.665239
142	ENTAILMENT	4.222103
143	CONTRADICTION	4.054132
144	NEUTRAL	2.336551
145	NEUTRAL	1.604048
147	NEUTRAL	1.951333
149	ENTAILMENT	4.08142
151	ENTAILMENT	4.43923
152	NEUTRAL	3.743015
153	ENTAILMENT	3.998664
154	NEUTRAL	3.673374
155	ENTAILMENT	4.110914
156	CONTRADICTION	4.035371
157	ENTAILMENT	4.153692
158	NEUTRAL	3.934188
160	ENTAILMENT	4.477951
162	NEUTRAL	3.078133
165	NEUTRAL	2.901106
166	NEUTRAL	3.075105
167	ENTAILMENT	4.106948
168	NEUTRAL	3.577033
