pair_ID	entailment_judgment	relatedness_score
6	ENTAILMENT	NA
7	NEUTRAL	NA
8	NEUTRAL	NA
10	ENTAILMENT	NA
11	NEUTRAL	NA
13	CONTRADICTION	NA
15	NEUTRAL	NA
16	NEUTRAL	NA
17	NEUTRAL	NA
19	NEUTRAL	NA
20	NEUTRAL	NA
21	NEUTRAL	NA
22	ENTAILMENT	NA
23	ENTAILMENT	NA
27	NEUTRAL	NA
29	NEUTRAL	NA
31	CONTRADICTION	NA
32	NEUTRAL	NA
33	ENTAILMENT	NA
34	NEUTRAL	NA
36	NEUTRAL	NA
37	NEUTRAL	NA
38	CONTRADICTION	NA
39	NEUTRAL	NA
41	NEUTRAL	NA
43	NEUTRAL	NA
46	NEUTRAL	NA
48	NEUTRAL	NA
50	NEUTRAL	NA
51	NEUTRAL	NA
52	ENTAILMENT	NA
53	NEUTRAL	NA
54	ENTAILMENT	NA
57	NEUTRAL	NA
59	NEUTRAL	NA
60	NEUTRAL	NA
61	NEUTRAL	NA
63	NEUTRAL	NA
64	CONTRADICTION	NA
66	NEUTRAL	NA
67	CONTRADICTION	NA
68	NEUTRAL	NA
69	NEUTRAL	NA
71	NEUTRAL	NA
74	ENTAILMENT	NA
75	ENTAILMENT	NA
76	ENTAILMENT	NA
80	NEUTRAL	NA
86	NEUTRAL	NA
89	ENTAILMENT	NA
92	ENTAILMENT	NA
95	ENTAILMENT	NA
96	NEUTRAL	NA
101	ENTAILMENT	NA
102	ENTAILMENT	NA
103	ENTAILMENT	NA
104	NEUTRAL	NA
106	ENTAILMENT	NA
108	ENTAILMENT	NA
109	NEUTRAL	NA
110	NEUTRAL	NA
111	ENTAILMENT	NA
114	NEUTRAL	NA
115	NEUTRAL	NA
118	NEUTRAL	NA
121	NEUTRAL	NA
123	NEUTRAL	NA
125	NEUTRAL	NA
128	NEUTRAL	NA
132	CONTRADICTION	NA
134	NEUTRAL	NA
135	NEUTRAL	NA
137	NEUTRAL	NA
138	NEUTRAL	NA
142	ENTAILMENT	NA
143	CONTRADICTION	NA
144	NEUTRAL	NA
145	NEUTRAL	NA
147	NEUTRAL	NA
149	NEUTRAL	NA
151	ENTAILMENT	NA
152	CONTRADICTION	NA
153	ENTAILMENT	NA
154	CONTRADICTION	NA
155	ENTAILMENT	NA
156	CONTRADICTION	NA
157	ENTAILMENT	NA
158	NEUTRAL	NA
160	NEUTRAL	NA
162	NEUTRAL	NA
165	NEUTRAL	NA
166	NEUTRAL	NA
167	ENTAILMENT	NA
168	ENTAILMENT	NA
169	ENTAILMENT	NA
171	NEUTRAL	NA
172	ENTAILMENT	NA
174	ENTAILMENT	NA
175	ENTAILMENT	NA
177	ENTAILMENT	NA
178	NEUTRAL	NA
179	ENTAILMENT	NA
180	NEUTRAL	NA
181	NEUTRAL	NA
182	NEUTRAL	NA
187	NEUTRAL	NA
189	NEUTRAL	NA
190	NEUTRAL	NA
191	NEUTRAL	NA
193	NEUTRAL	NA
195	NEUTRAL	NA
196	NEUTRAL	NA
198	NEUTRAL	NA
199	NEUTRAL	NA
203	ENTAILMENT	NA
204	NEUTRAL	NA
206	NEUTRAL	NA
207	NEUTRAL	NA
208	NEUTRAL	NA
209	NEUTRAL	NA
210	CONTRADICTION	NA
212	NEUTRAL	NA
213	NEUTRAL	NA
214	NEUTRAL	NA
220	NEUTRAL	NA
221	ENTAILMENT	NA
222	ENTAILMENT	NA
229	ENTAILMENT	NA
230	CONTRADICTION	NA
231	NEUTRAL	NA
235	NEUTRAL	NA
239	NEUTRAL	NA
242	ENTAILMENT	NA
243	NEUTRAL	NA
244	CONTRADICTION	NA
245	ENTAILMENT	NA
246	NEUTRAL	NA
247	NEUTRAL	NA
250	ENTAILMENT	NA
251	ENTAILMENT	NA
252	ENTAILMENT	NA
255	NEUTRAL	NA
261	NEUTRAL	NA
262	ENTAILMENT	NA
263	NEUTRAL	NA
264	ENTAILMENT	NA
267	NEUTRAL	NA
268	NEUTRAL	NA
270	NEUTRAL	NA
271	NEUTRAL	NA
274	ENTAILMENT	NA
275	NEUTRAL	NA
278	NEUTRAL	NA
281	NEUTRAL	NA
282	ENTAILMENT	NA
284	ENTAILMENT	NA
288	NEUTRAL	NA
290	NEUTRAL	NA
292	NEUTRAL	NA
294	NEUTRAL	NA
295	NEUTRAL	NA
297	NEUTRAL	NA
298	NEUTRAL	NA
299	NEUTRAL	NA
300	NEUTRAL	NA
306	NEUTRAL	NA
307	ENTAILMENT	NA
308	NEUTRAL	NA
314	NEUTRAL	NA
316	NEUTRAL	NA
318	NEUTRAL	NA
319	NEUTRAL	NA
320	NEUTRAL	NA
321	NEUTRAL	NA
322	NEUTRAL	NA
324	ENTAILMENT	NA
325	CONTRADICTION	NA
326	NEUTRAL	NA
328	NEUTRAL	NA
330	NEUTRAL	NA
334	NEUTRAL	NA
336	ENTAILMENT	NA
337	ENTAILMENT	NA
343	NEUTRAL	NA
345	NEUTRAL	NA
348	NEUTRAL	NA
349	NEUTRAL	NA
350	NEUTRAL	NA
352	CONTRADICTION	NA
353	ENTAILMENT	NA
355	NEUTRAL	NA
356	NEUTRAL	NA
357	NEUTRAL	NA
359	NEUTRAL	NA
364	ENTAILMENT	NA
365	NEUTRAL	NA
368	NEUTRAL	NA
369	CONTRADICTION	NA
371	ENTAILMENT	NA
376	NEUTRAL	NA
383	NEUTRAL	NA
385	NEUTRAL	NA
386	NEUTRAL	NA
388	NEUTRAL	NA
389	NEUTRAL	NA
399	NEUTRAL	NA
400	NEUTRAL	NA
401	NEUTRAL	NA
405	NEUTRAL	NA
406	NEUTRAL	NA
407	NEUTRAL	NA
408	ENTAILMENT	NA
411	NEUTRAL	NA
412	NEUTRAL	NA
414	NEUTRAL	NA
416	NEUTRAL	NA
418	NEUTRAL	NA
419	NEUTRAL	NA
420	NEUTRAL	NA
421	NEUTRAL	NA
424	NEUTRAL	NA
425	NEUTRAL	NA
426	NEUTRAL	NA
429	NEUTRAL	NA
430	NEUTRAL	NA
431	NEUTRAL	NA
432	NEUTRAL	NA
433	ENTAILMENT	NA
437	ENTAILMENT	NA
443	ENTAILMENT	NA
444	ENTAILMENT	NA
445	ENTAILMENT	NA
448	ENTAILMENT	NA
452	ENTAILMENT	NA
453	NEUTRAL	NA
455	NEUTRAL	NA
456	CONTRADICTION	NA
458	NEUTRAL	NA
459	NEUTRAL	NA
460	NEUTRAL	NA
463	CONTRADICTION	NA
464	ENTAILMENT	NA
466	CONTRADICTION	NA
467	NEUTRAL	NA
468	NEUTRAL	NA
469	ENTAILMENT	NA
471	NEUTRAL	NA
472	NEUTRAL	NA
474	CONTRADICTION	NA
478	NEUTRAL	NA
479	NEUTRAL	NA
480	NEUTRAL	NA
481	ENTAILMENT	NA
482	NEUTRAL	NA
