pair_ID	entailment_judgment	relatedness_score
6	NA	2.1362302	0.7840575725707561
7	NA	2.6250398	0.9062599705582953
8	NA	2.5068455	0.8767113414118538
10	NA	2.988517	0.9971292527497697
11	NA	2.9969275	0.9992318847495737
13	NA	1.7900357	0.6975089266662242
15	NA	1.6487793	0.6621948238012534
16	NA	1.0	0.5334720811632654
17	NA	1.0	0.530460941659732
19	NA	2.626158	0.9065394719015288
20	NA	2.626158	0.9065394719015288
21	NA	3.0	1.0000000000000002
22	NA	2.9853866	0.9963466749936981
23	NA	1.0	0.5546316869757558
27	NA	1.609756	0.6524389974870908
29	NA	2.0663972	0.7665992921726299
31	NA	2.9300144	0.9825035635666179
32	NA	2.9890409	0.9972601959259413
33	NA	1.9077243	0.7269310795355617
34	NA	2.9127028	0.9781756774887279
36	NA	1.6438192	0.6609547993080819
37	NA	1.751236	0.6878089958063804
38	NA	1.7788073	0.6947018164918869
39	NA	1.7894217	0.6973554299593652
41	NA	2.9961321	0.9990330586380965
43	NA	3.0	1.0
46	NA	1.525499	0.6313747334736991
48	NA	1.5092818	0.6273204255588787
50	NA	1.4859567	0.6214891705561962
51	NA	1.4859567	0.6214891705561962
52	NA	2.418113	0.8545282196195061
53	NA	2.809091	0.9522727643118526
54	NA	2.9897783	0.9974445908686069
57	NA	1.0	0.5146475760335246
59	NA	1.0	0.4672117651095421
60	NA	1.0	0.513210934384341
61	NA	1.0	0.5323999912557029
63	NA	2.8604891	0.9651222867167488
64	NA	2.6214836	0.9053708830629227
66	NA	2.991104	0.9977759945753929
67	NA	2.0521104	0.7630276059158961
68	NA	2.1776135	0.7944033604818747
69	NA	2.2616298	0.8154074594132423
71	NA	2.2375462	0.8093865363561638
74	NA	2.5896406	0.8974101574395136
75	NA	2.6861308	0.9215326728687192
76	NA	2.667221	0.9168052776992333
80	NA	2.1830626	0.7957656518885009
86	NA	2.1990209	0.7997552369513651
89	NA	2.9924252	0.9981063035358505
92	NA	1.0	0.2560432648340835
95	NA	1.0	0.29214378539530167
96	NA	1.0	0.24621459283531727
101	NA	2.99739	0.9993475026117439
102	NA	1.0	0.4631087780636597
103	NA	1.0	0.40400667540650403
104	NA	1.0	0.33147165734738115
106	NA	1.0	0.4041626845673628
108	NA	2.954399	0.988599801623822
109	NA	1.5193478	0.629836936162514
110	NA	1.8103924	0.7025980859120677
111	NA	2.7337232	0.9334307882550336
114	NA	1.8173919	0.7043479624393569
115	NA	1.0	0.44665062884337847
118	NA	2.9680238	0.9920059173068899
121	NA	2.7354438	0.9338609278452914
123	NA	1.6740068	0.6685017084484893
125	NA	1.662095	0.6655237450993822
128	NA	1.6331471	0.6582867844533161
132	NA	3.0	0.9999999999999999
134	NA	2.4940467	0.8735116830029728
135	NA	1.8827964	0.7206990984002326
137	NA	1.6612083	0.6653020668141806
138	NA	1.8875289	0.7218822212908349
142	NA	2.9995286	0.9998821483402471
143	NA	1.967309	0.7418272616703682
144	NA	2.4438195	0.860954891583509
145	NA	1.0	0.5951860337121244
147	NA	2.4283686	0.8570921607611951
149	NA	2.6889617	0.9222404274712216
151	NA	1.0	0.5732532495003003
152	NA	2.6919403	0.9229850817110642
153	NA	1.0	0.5732532495003003
154	NA	2.6919403	0.9229850817110642
155	NA	2.6889617	0.9222404274712216
156	NA	3.0	1.0
157	NA	3.0	1.0
158	NA	3.0	1.0
160	NA	2.9942756	0.9985688715143164
162	NA	2.9830544	0.9957636188022176
165	NA	2.9950373	0.9987593244065168
166	NA	2.9849858	0.9962464438458202
167	NA	2.4382558	0.8595639271963073
168	NA	2.9883397	0.997084925771608
169	NA	2.910813	0.9777032501902232
171	NA	3.0	1.0
172	NA	2.1939635	0.798490908161249
174	NA	2.0862668	0.7715667078479986
175	NA	2.0708342	0.7677085660551061
177	NA	2.0862668	0.7715667078479986
178	NA	2.8770158	0.9692539538000435
179	NA	2.9519455	0.9879863564967811
180	NA	3.0	0.9999999999999998
181	NA	1.63353	0.6583825010843343
182	NA	2.9991863	0.9997965899096379
187	NA	2.7822094	0.9455523700610153
189	NA	2.7552972	0.9388242733167425
190	NA	2.7552972	0.9388242733167425
191	NA	1.8597107	0.7149276833681589
193	NA	2.995972	0.9989929654818174
195	NA	2.6874967	0.9218741645932901
196	NA	1.863074	0.7157684998041882
198	NA	1.5149491	0.6287372589379466
199	NA	2.689648	0.9224119692287486
203	NA	2.2206876	0.8051719361366857
204	NA	1.0	0.37011521042799983
206	NA	1.0	0.3283982495759508
207	NA	1.0	0.32477612033924946
208	NA	1.0	0.32477612033924946
209	NA	2.120051	0.7800127444895111
210	NA	2.0906198	0.7726549244516385
212	NA	1.0	0.5995258588924541
213	NA	1.0	0.33798373152000794
214	NA	1.0	0.28890979841140846
220	NA	2.851371	0.9628427385323935
221	NA	3.0	1.0000000000000002
222	NA	3.0	1.0000000000000002
229	NA	2.9999676	0.9999919058016337
230	NA	2.6529436	0.9132358756752799
231	NA	3.0	0.9999999999999998
235	NA	1.9407606	0.7351901600450428
239	NA	1.9407606	0.7351901600450428
242	NA	1.6725035	0.6681258795083657
243	NA	2.9858782	0.9964695609802331
244	NA	2.0796127	0.7699031900026142
245	NA	3.0	1.0
246	NA	2.0156512	0.7539127786705164
247	NA	2.8348644	0.9587161012739686
250	NA	1.7680157	0.6920039279868311
251	NA	1.0	0.4623845193845991
252	NA	2.020589	0.755147292162609
255	NA	2.9989367	0.9997341381219853
261	NA	1.0	0.509803268856733
262	NA	2.5667975	0.8916993826986437
263	NA	2.8912432	0.9728108210850529
264	NA	2.21955	0.8048874849426151
267	NA	1.7315642	0.6828910413575238
268	NA	1.7669834	0.6917458368440589
270	NA	1.6459513	0.6614878054567395
271	NA	2.2655501	0.8163875123931794
274	NA	2.8798468	0.9699616885729231
275	NA	2.474162	0.86854055326078
278	NA	1.6187003	0.6546750530944683
281	NA	1.0	0.589062365103463
282	NA	2.9972248	0.9993062153027595
284	NA	1.0	0.4605127944646123
288	NA	2.4282613	0.8570653085711087
290	NA	2.4256902	0.856422545495328
292	NA	2.9286609	0.9821652075315032
294	NA	2.8673139	0.9668284629093788
295	NA	1.7871808	0.6967951946317932
297	NA	1.0	0.48536790140745467
298	NA	1.0	0.4957696329406699
299	NA	1.0	0.5027640433720347
300	NA	2.085567	0.7713917340409183
306	NA	1.5464683	0.6366170673272853
307	NA	2.0637102	0.7659275813412829
308	NA	1.5293142	0.6323285372719255
314	NA	3.0	1.0
316	NA	1.8448614	0.7112153595811835
318	NA	2.1714785	0.7928696188325298
319	NA	2.1774576	0.794364372242873
320	NA	1.881141	0.720285224547268
321	NA	1.8731922	0.7182980346018126
322	NA	2.9993677	0.999841917022692
324	NA	2.7457733	0.9364433284383908
325	NA	2.7457733	0.9364433284383908
326	NA	2.124488	0.7811220112935308
328	NA	2.113177	0.7782942503214687
330	NA	2.1072466	0.7768116661210679
334	NA	2.9791226	0.9947806685574017
336	NA	1.9335938	0.7333984519490362
337	NA	1.9118876	0.7279719002018991
343	NA	2.4697464	0.8674365887892302
345	NA	1.914202	0.7285504880318909
348	NA	2.6569438	0.9142359771310782
349	NA	2.652659	0.9131647611432019
350	NA	2.6569438	0.9142359771310782
352	NA	3.0	0.9999999999999999
353	NA	2.9121733	0.9780433000571007
355	NA	2.8595588	0.9648897224812353
356	NA	1.782857	0.6957142347569618
357	NA	2.1704545	0.7926136007530984
359	NA	1.5707191	0.6426797935822862
364	NA	1.9055078	0.7263769427339387
365	NA	3.0	1.0
368	NA	1.9890648	0.7472661909132514
369	NA	1.9832128	0.7458032055228968
371	NA	2.9946609	0.9986651852188722
376	NA	2.9562705	0.9890675983195892
383	NA	2.893986	0.9734964884195072
385	NA	2.3611937	0.8402983946291888
386	NA	2.5986836	0.8996708903068213
388	NA	2.7518766	0.9379691562916415
389	NA	2.7668934	0.9417233368310017
399	NA	2.700456	0.9251139974164343
400	NA	2.6904268	0.9226067030473364
401	NA	2.700456	0.9251139974164343
405	NA	2.9944425	0.9986105895468009
406	NA	1.5665703	0.641642579292082
407	NA	1.5833162	0.6458290643937283
408	NA	1.5961046	0.6490261633374855
411	NA	2.9730728	0.9932682214052874
412	NA	2.92194	0.9804849974675877
414	NA	2.9086852	0.9771713011865677
416	NA	2.901858	0.9754645387525033
418	NA	2.8782024	0.9695505881504195
419	NA	2.9964914	0.9991228485843286
420	NA	2.8637667	0.9659416754880448
421	NA	2.9199271	0.9799817800707895
424	NA	2.9917533	0.9979383280585727
425	NA	2.6881652	0.9220413201034706
426	NA	3.0	1.0
429	NA	2.5718794	0.8929698287678272
430	NA	2.5931199	0.8982799827048101
431	NA	2.5718794	0.8929698287678272
432	NA	2.5718794	0.8929698287678272
433	NA	2.8759418	0.968985466190195
437	NA	1.7864206	0.6966051536885042
443	NA	2.6966107	0.9241526780564199
444	NA	3.0	0.9999999999999999
445	NA	1.0	0.49018972033774066
448	NA	1.0	0.4075907132322466
452	NA	1.5300473	0.6325118384944625
453	NA	1.89436	0.7235899769502184
455	NA	2.0754025	0.7688506113788391
456	NA	2.723674	0.9309185113512699
458	NA	1.0	0.5529734833560419
459	NA	1.6590601	0.6647650242823259
460	NA	2.1291912	0.7822977903572428
