pair_ID	relatedness_score	entailment_judgment
6	3.137	NEUTRAL
7	3.416	NEUTRAL
8	3.279	NEUTRAL
10	4.522	ENTAILMENT
11	4.332	NEUTRAL
13	3.116	NEUTRAL
15	2.796	NEUTRAL
16	2.005	NEUTRAL
17	2.362	NEUTRAL
19	3.963	NEUTRAL
20	3.145	NEUTRAL
21	3.715	NEUTRAL
22	4.952	ENTAILMENT
23	4.235	NEUTRAL
27	2.443	NEUTRAL
29	3.262	NEUTRAL
31	3.658	CONTRADICTION
32	4.086	NEUTRAL
33	3.828	NEUTRAL
34	3.56	NEUTRAL
36	2.573	NEUTRAL
37	3.632	NEUTRAL
38	3.205	NEUTRAL
39	3.245	NEUTRAL
41	4.269	NEUTRAL
43	3.93	NEUTRAL
46	1.834	NEUTRAL
48	1.969	NEUTRAL
50	1.923	NEUTRAL
51	1.923	NEUTRAL
52	4.03	NEUTRAL
53	4.256	NEUTRAL
54	3.79	NEUTRAL
57	3.235	NEUTRAL
59	3.477	NEUTRAL
60	3.288	NEUTRAL
61	3.216	NEUTRAL
63	4.33	NEUTRAL
64	3.372	NEUTRAL
66	4.438	NEUTRAL
67	4.139	NEUTRAL
68	3.624	NEUTRAL
69	3.797	NEUTRAL
71	3.131	NEUTRAL
74	4.175	NEUTRAL
75	4.142	NEUTRAL
76	3.477	NEUTRAL
80	2.707	NEUTRAL
86	3.33	NEUTRAL
89	4.424	ENTAILMENT
92	2.036	NEUTRAL
95	3.238	NEUTRAL
96	3.138	NEUTRAL
101	4.317	NEUTRAL
102	3.464	NEUTRAL
103	3.327	NEUTRAL
104	3.39	NEUTRAL
106	3.39	NEUTRAL
108	3.843	NEUTRAL
109	3.208	NEUTRAL
110	3.68	NEUTRAL
111	3.786	NEUTRAL
114	2.276	NEUTRAL
115	2.116	NEUTRAL
118	4.019	NEUTRAL
121	4.656	NEUTRAL
123	2.069	NEUTRAL
125	2.279	NEUTRAL
128	2.176	NEUTRAL
132	3.53	CONTRADICTION
134	4.133	NEUTRAL
135	3.131	NEUTRAL
137	3.382	NEUTRAL
138	2.456	NEUTRAL
142	3.911	NEUTRAL
143	3.938	NEUTRAL
144	3.228	NEUTRAL
145	2.595	NEUTRAL
147	2.047	NEUTRAL
149	3.727	NEUTRAL
151	4.364	ENTAILMENT
152	3.594	CONTRADICTION
153	4.127	NEUTRAL
154	3.833	NEUTRAL
155	3.771	NEUTRAL
156	3.593	ENTAILMENT
157	4.058	ENTAILMENT
158	4.135	NEUTRAL
160	3.96	NEUTRAL
162	3.38	NEUTRAL
165	3.455	NEUTRAL
166	3.286	NEUTRAL
167	4.572	NEUTRAL
168	3.932	NEUTRAL
169	4.357	ENTAILMENT
171	4.075	NEUTRAL
172	4.122	NEUTRAL
174	4.091	NEUTRAL
175	4.195	ENTAILMENT
177	4.091	NEUTRAL
178	4.047	NEUTRAL
179	3.876	NEUTRAL
180	3.803	NEUTRAL
181	4.05	NEUTRAL
182	3.953	NEUTRAL
187	2.565	NEUTRAL
189	2.71	NEUTRAL
190	2.713	NEUTRAL
191	3.818	NEUTRAL
193	3.704	NEUTRAL
195	3.605	NEUTRAL
196	3.567	NEUTRAL
198	2.873	NEUTRAL
199	3.735	NEUTRAL
203	3.804	NEUTRAL
204	2.711	NEUTRAL
206	3.243	NEUTRAL
207	2.963	NEUTRAL
208	3.366	NEUTRAL
209	3.992	NEUTRAL
210	3.21	NEUTRAL
212	4.152	NEUTRAL
213	3.323	NEUTRAL
214	3.344	NEUTRAL
220	3.996	NEUTRAL
221	4.171	NEUTRAL
222	3.833	NEUTRAL
229	3.419	ENTAILMENT
230	3.196	NEUTRAL
231	4.47	ENTAILMENT
235	3.077	NEUTRAL
239	3.126	NEUTRAL
242	3.828	NEUTRAL
243	3.592	NEUTRAL
244	4.249	NEUTRAL
245	3.935	NEUTRAL
246	3.306	NEUTRAL
247	2.87	NEUTRAL
250	3.808	NEUTRAL
251	3.87	NEUTRAL
252	3.984	NEUTRAL
255	4.095	NEUTRAL
261	3.417	NEUTRAL
262	4.161	NEUTRAL
263	3.642	NEUTRAL
264	4.095	NEUTRAL
267	3.252	NEUTRAL
268	2.841	NEUTRAL
270	2.959	NEUTRAL
271	3.177	NEUTRAL
274	4.063	NEUTRAL
275	3.577	NEUTRAL
278	3.367	NEUTRAL
281	3.269	NEUTRAL
282	4.423	ENTAILMENT
284	3.741	NEUTRAL
288	3.294	NEUTRAL
290	3.329	NEUTRAL
292	3.452	NEUTRAL
294	4.186	NEUTRAL
295	3.104	NEUTRAL
297	2.461	NEUTRAL
298	3.039	NEUTRAL
299	3.307	NEUTRAL
300	4.211	NEUTRAL
306	3.126	NEUTRAL
307	3.23	NEUTRAL
308	2.24	NEUTRAL
314	4.103	NEUTRAL
316	2.56	NEUTRAL
318	2.601	NEUTRAL
319	2.416	NEUTRAL
320	2.449	NEUTRAL
321	2.449	NEUTRAL
322	4.966	NEUTRAL
324	3.921	NEUTRAL
325	3.014	NEUTRAL
326	2.164	NEUTRAL
328	2.057	NEUTRAL
330	2.058	NEUTRAL
334	3.929	NEUTRAL
336	3.077	NEUTRAL
337	2.261	NEUTRAL
343	3.819	NEUTRAL
345	3.132	NEUTRAL
348	3.106	NEUTRAL
349	3.079	NEUTRAL
350	3.095	NEUTRAL
352	3.598	NEUTRAL
353	4.35	NEUTRAL
355	3.276	NEUTRAL
356	3.451	NEUTRAL
357	2.928	NEUTRAL
359	2.795	NEUTRAL
364	4.19	NEUTRAL
365	4.089	NEUTRAL
368	3.639	NEUTRAL
369	3.17	NEUTRAL
371	4.011	NEUTRAL
376	3.072	NEUTRAL
383	3.954	NEUTRAL
385	4.186	NEUTRAL
386	3.563	NEUTRAL
388	3.6	NEUTRAL
389	3.69	NEUTRAL
399	3.615	NEUTRAL
400	2.968	NEUTRAL
401	2.656	NEUTRAL
405	3.518	NEUTRAL
406	2.008	NEUTRAL
407	1.958	NEUTRAL
408	3.308	NEUTRAL
411	3.966	NEUTRAL
412	4.112	NEUTRAL
414	3.92	NEUTRAL
416	3.053	NEUTRAL
418	3.2	NEUTRAL
419	4.016	NEUTRAL
420	3.663	NEUTRAL
421	3.63	NEUTRAL
424	4.172	NEUTRAL
425	3.337	NEUTRAL
426	4.253	NEUTRAL
429	3.929	NEUTRAL
430	4.42	NEUTRAL
431	4.018	NEUTRAL
432	4.456	ENTAILMENT
433	3.975	NEUTRAL
437	3.09	NEUTRAL
443	4.136	NEUTRAL
444	3.594	NEUTRAL
445	3.344	NEUTRAL
448	3.516	NEUTRAL
452	3.497	NEUTRAL
453	3.984	NEUTRAL
455	3.216	NEUTRAL
456	3.945	NEUTRAL
458	3.069	NEUTRAL
459	2.231	NEUTRAL
460	3.082	NEUTRAL
463	3.52	CONTRADICTION
464	4.107	NEUTRAL
466	3.593	CONTRADICTION
467	3.378	NEUTRAL
468	3.268	NEUTRAL
469	4.051	NEUTRAL
471	3.512	NEUTRAL
472	3.47	NEUTRAL
474	3.622	CONTRADICTION
478	2.834	NEUTRAL
479	3.171	NEUTRAL
480	2.783	NEUTRAL
481	3.706	NEUTRAL
482	4.321	NEUTRAL
483	3.497	NEUTRAL
487	3.642	NEUTRAL
488	3.078	NEUTRAL
490	3.648	NEUTRAL
492	3.131	NEUTRAL
493	3.556	NEUTRAL
495	3.589	NEUTRAL
498	3.258	NEUTRAL
501	2.465	NEUTRAL
502	4.072	NEUTRAL
503	3.756	CONTRADICTION
504	4.336	NEUTRAL
509	3.118	NEUTRAL
510	3.078	NEUTRAL
511	3.27	NEUTRAL
512	3.238	NEUTRAL
517	3.751	NEUTRAL
518	4.165	ENTAILMENT
519	3.756	CONTRADICTION
521	3.358	NEUTRAL
523	2.933	NEUTRAL
525	2.905	NEUTRAL
532	4.005	NEUTRAL
533	3.75	NEUTRAL
534	3.627	NEUTRAL
536	3.742	NEUTRAL
537	3.391	NEUTRAL
539	3.712	NEUTRAL
540	3.35	NEUTRAL
543	3.555	NEUTRAL
544	4.556	ENTAILMENT
546	3.741	NEUTRAL
547	3.515	NEUTRAL
549	3.459	NEUTRAL
553	3.452	NEUTRAL
554	4.456	NEUTRAL
558	4.249	NEUTRAL
559	3.605	NEUTRAL
562	3.397	NEUTRAL
563	3.489	NEUTRAL
566	3.482	NEUTRAL
567	3.927	NEUTRAL
569	4.075	NEUTRAL
571	3.235	NEUTRAL
572	4.031	NEUTRAL
573	3.37	NEUTRAL
574	3.166	NEUTRAL
575	3.228	NEUTRAL
576	3.499	NEUTRAL
577	3.434	NEUTRAL
578	3.326	NEUTRAL
579	3.388	NEUTRAL
580	4.233	NEUTRAL
582	3.569	NEUTRAL
583	4.217	ENTAILMENT
584	3.807	CONTRADICTION
585	3.669	NEUTRAL
589	3.719	NEUTRAL
590	3.77	NEUTRAL
591	4.094	NEUTRAL
593	3.894	NEUTRAL
594	3.622	CONTRADICTION
595	3.079	NEUTRAL
596	2.899	NEUTRAL
598	3.323	NEUTRAL
600	4.89	ENTAILMENT
602	3.12	NEUTRAL
607	3.09	NEUTRAL
608	3.312	NEUTRAL
610	3.133	NEUTRAL
612	3.208	NEUTRAL
613	4.793	NEUTRAL
614	3.654	NEUTRAL
615	3.742	NEUTRAL
616	4.693	NEUTRAL
618	3.565	NEUTRAL
620	2.284	NEUTRAL
623	3.361	NEUTRAL
624	3.487	NEUTRAL
627	3.885	NEUTRAL
633	3.015	NEUTRAL
635	3.148	NEUTRAL
636	3.097	NEUTRAL
639	5.019	ENTAILMENT
640	4.22	NEUTRAL
642	4.168	NEUTRAL
644	3.338	NEUTRAL
652	4.471	NEUTRAL
654	3.808	NEUTRAL
656	4.334	NEUTRAL
658	3.788	NEUTRAL
659	3.775	NEUTRAL
662	3.79	NEUTRAL
664	3.859	NEUTRAL
665	4.249	NEUTRAL
666	4.057	NEUTRAL
667	4.235	ENTAILMENT
669	3.43	NEUTRAL
670	3.096	NEUTRAL
673	3.223	NEUTRAL
674	3.386	NEUTRAL
675	3.214	NEUTRAL
677	4.356	NEUTRAL
681	3.748	NEUTRAL
682	3.377	NEUTRAL
683	3.165	NEUTRAL
684	3.534	NEUTRAL
686	3.396	NEUTRAL
688	3.401	NEUTRAL
694	4.008	NEUTRAL
695	3.624	NEUTRAL
700	3.594	NEUTRAL
701	3.598	NEUTRAL
705	3.713	NEUTRAL
706	3.96	NEUTRAL
707	3.481	NEUTRAL
708	3.038	NEUTRAL
710	3.282	NEUTRAL
711	2.163	NEUTRAL
712	2.876	NEUTRAL
713	4.577	ENTAILMENT
714	3.412	NEUTRAL
716	4.136	NEUTRAL
719	2.359	NEUTRAL
720	3.129	NEUTRAL
721	3.261	NEUTRAL
724	3.099	NEUTRAL
726	4.893	ENTAILMENT
739	4.272	NEUTRAL
740	3.417	NEUTRAL
742	3.773	NEUTRAL
743	2.329	NEUTRAL
744	2.343	NEUTRAL
750	3.699	NEUTRAL
751	3.362	NEUTRAL
753	3.807	CONTRADICTION
755	3.606	NEUTRAL
756	3.705	NEUTRAL
758	3.759	NEUTRAL
763	3.902	NEUTRAL
767	2.4	NEUTRAL
770	2.517	NEUTRAL
771	3.411	NEUTRAL
773	4.2	NEUTRAL
775	3.967	NEUTRAL
776	3.008	NEUTRAL
778	2.961	NEUTRAL
779	2.964	NEUTRAL
781	4.223	NEUTRAL
782	3.593	CONTRADICTION
786	3.554	NEUTRAL
787	3.465	NEUTRAL
788	3.089	NEUTRAL
790	3.442	NEUTRAL
794	4.185	NEUTRAL
795	4.28	NEUTRAL
798	3.656	NEUTRAL
800	3.168	NEUTRAL
801	3.169	NEUTRAL
803	3.405	NEUTRAL
805	4.042	NEUTRAL
806	4.049	CONTRADICTION
807	4.148	NEUTRAL
808	3.825	NEUTRAL
809	3.935	NEUTRAL
810	2.028	NEUTRAL
814	2.755	NEUTRAL
815	1.958	NEUTRAL
817	4.224	NEUTRAL
818	4.399	NEUTRAL
819	3.496	NEUTRAL
821	4.453	NEUTRAL
823	2.354	NEUTRAL
826	2.177	NEUTRAL
828	3.608	CONTRADICTION
829	3.993	NEUTRAL
832	3.731	NEUTRAL
833	3.333	NEUTRAL
834	3.12	NEUTRAL
835	3.422	NEUTRAL
837	2.951	NEUTRAL
838	3.306	NEUTRAL
840	4.634	NEUTRAL
842	3.879	NEUTRAL
843	4.012	NEUTRAL
847	3.174	NEUTRAL
849	3.175	NEUTRAL
850	3.14	NEUTRAL
853	4.391	NEUTRAL
854	3.497	NEUTRAL
856	5.449	NEUTRAL
861	3.416	NEUTRAL
863	3.518	NEUTRAL
865	3.544	NEUTRAL
871	3.165	NEUTRAL
875	3.594	NEUTRAL
877	4.129	ENTAILMENT
884	3.166	NEUTRAL
885	3.034	NEUTRAL
886	3.257	NEUTRAL
890	3.969	NEUTRAL
891	3.472	NEUTRAL
894	3.106	NEUTRAL
896	2.605	NEUTRAL
