pair_ID	entailment_judgment	relatedness_score
6	NA	3.8929973
7	NA	4.073292
8	NA	4.0030317
10	NA	4.9386864
11	NA	4.945223
13	NA	4.0336514
15	NA	3.5756073
16	NA	3.1992998
17	NA	3.1885564
19	NA	4.9176574
20	NA	4.7443924
21	NA	4.966095
22	NA	4.850937
23	NA	4.7747717
27	NA	3.858466
29	NA	4.16782
31	NA	4.6455946
32	NA	4.8134327
33	NA	4.8148484
34	NA	4.566478
36	NA	3.7972853
37	NA	4.3647795
38	NA	4.2923064
39	NA	4.3942146
41	NA	4.729564
43	NA	4.9544168
46	NA	4.1866612
48	NA	3.6250033
50	NA	4.129063
51	NA	4.1341195
52	NA	4.8625093
53	NA	4.790106
54	NA	4.731717
57	NA	3.9926033
59	NA	4.0980964
60	NA	4.0010047
61	NA	3.685158
63	NA	4.8515754
64	NA	4.5120416
66	NA	4.6827
67	NA	4.7431617
68	NA	4.6037207
69	NA	4.5653358
71	NA	4.6069875
74	NA	4.8463664
75	NA	4.940202
76	NA	4.7980614
80	NA	3.5818307
86	NA	3.7217999
89	NA	4.873098
92	NA	3.7763207
95	NA	3.9394255
96	NA	3.49898
101	NA	4.9216104
102	NA	4.518934
103	NA	4.120805
104	NA	4.17704
106	NA	4.167664
108	NA	4.6183834
109	NA	4.1116157
110	NA	4.806484
111	NA	4.7250185
114	NA	3.344256
115	NA	3.11552
118	NA	4.7838755
121	NA	4.945393
123	NA	4.0894437
125	NA	4.179812
128	NA	4.151433
132	NA	4.7577443
134	NA	4.5897717
135	NA	4.0066094
137	NA	3.987822
138	NA	4.0219054
142	NA	4.667825
143	NA	4.4358273
144	NA	3.8961341
145	NA	2.9785004
147	NA	3.5833642
149	NA	4.8389935
151	NA	4.764035
152	NA	4.3013544
153	NA	4.671686
154	NA	4.25511
155	NA	4.686038
156	NA	4.6502447
157	NA	4.896657
158	NA	4.962004
160	NA	4.682258
162	NA	4.4258623
165	NA	4.5353303
166	NA	4.5174026
167	NA	4.7585344
168	NA	4.642353
169	NA	4.938138
171	NA	4.9254594
172	NA	4.57709
174	NA	4.514239
175	NA	4.557674
177	NA	4.497131
178	NA	4.81931
179	NA	4.552242
180	NA	4.9352164
181	NA	4.775962
182	NA	4.8080416
187	NA	3.9113414
189	NA	3.897086
190	NA	3.9694006
191	NA	4.7232895
193	NA	4.884369
195	NA	4.5118794
196	NA	4.439759
198	NA	4.220959
199	NA	4.4490204
203	NA	4.732804
204	NA	4.30269
206	NA	4.390752
207	NA	4.3164487
208	NA	4.463191
209	NA	4.8363304
210	NA	4.423118
212	NA	4.6343293
213	NA	3.7260804
214	NA	3.8872516
220	NA	4.595967
221	NA	4.865804
222	NA	5.0
229	NA	4.8703885
230	NA	4.260106
231	NA	4.8706603
235	NA	3.64368
239	NA	3.7054472
242	NA	4.736708
243	NA	4.8328047
244	NA	4.79878
245	NA	4.9156537
246	NA	4.398079
247	NA	4.4966125
250	NA	4.5319514
251	NA	4.347278
252	NA	4.503225
255	NA	4.937357
261	NA	4.3320427
262	NA	4.756434
263	NA	4.7830515
264	NA	4.7903786
267	NA	4.190518
268	NA	4.097205
270	NA	3.9126492
271	NA	4.418099
274	NA	4.8906584
275	NA	4.5572143
278	NA	4.159687
281	NA	3.855674
282	NA	4.832053
284	NA	4.5158525
288	NA	4.1244283
290	NA	4.1627035
292	NA	4.386059
294	NA	4.8142433
295	NA	4.038003
297	NA	4.0187626
298	NA	4.0101333
299	NA	4.068085
300	NA	4.8334527
306	NA	3.8835757
307	NA	3.9126198
308	NA	3.905499
314	NA	4.8951626
316	NA	4.188074
318	NA	4.2935333
319	NA	4.286951
320	NA	4.2068305
321	NA	4.2388864
322	NA	4.949067
324	NA	4.428883
325	NA	4.0317473
326	NA	4.033251
328	NA	3.5830019
330	NA	3.5784557
334	NA	4.913511
336	NA	4.2829833
337	NA	3.9934585
343	NA	4.697123
345	NA	4.196919
348	NA	4.2111983
349	NA	4.3756695
350	NA	4.4207845
352	NA	4.7683773
353	NA	4.908038
355	NA	4.3427005
356	NA	4.038204
357	NA	4.392951
359	NA	3.9367626
364	NA	4.7486987
365	NA	4.8703947
368	NA	4.5574193
369	NA	4.560523
371	NA	4.8759866
376	NA	4.3334165
383	NA	4.6793756
385	NA	4.835001
386	NA	4.474085
388	NA	4.661855
389	NA	4.625498
399	NA	4.318631
400	NA	4.3956833
401	NA	4.391649
405	NA	4.7364054
406	NA	3.1811094
407	NA	3.237446
408	NA	3.712068
411	NA	4.855303
412	NA	4.4690504
414	NA	4.734424
416	NA	4.3459277
418	NA	4.3570538
419	NA	4.5904446
420	NA	4.4653645
421	NA	4.4568553
424	NA	4.6184497
425	NA	4.420067
426	NA	4.887159
429	NA	4.7053113
430	NA	4.4921827
431	NA	4.6293073
432	NA	4.648503
433	NA	4.708478
437	NA	3.8876872
443	NA	4.5985665
444	NA	4.8163347
445	NA	4.3209715
448	NA	4.433974
452	NA	4.365097
453	NA	4.7744365
455	NA	4.300272
456	NA	4.366669
458	NA	3.8856628
459	NA	4.139701
460	NA	4.2292447
463	NA	4.650024
464	NA	4.7831097
466	NA	4.735478
467	NA	4.249577
468	NA	4.060715
469	NA	4.778682
471	NA	4.36715
472	NA	4.2618484
474	NA	4.609879
478	NA	3.9359283
479	NA	3.886401
480	NA	3.8565981
481	NA	4.098995
482	NA	4.940463
483	NA	4.2232594
487	NA	4.6545258
488	NA	4.487353
490	NA	4.5756874
492	NA	4.7345057
493	NA	4.6359816
495	NA	4.593306
498	NA	4.287482
501	NA	4.1039057
502	NA	4.774707
503	NA	4.7721224
504	NA	4.5253353
509	NA	4.141986
510	NA	4.0287213
511	NA	3.9666915
512	NA	4.156242
517	NA	4.5511866
518	NA	4.9443736
519	NA	4.9421883
521	NA	4.2972136
523	NA	4.1297917
525	NA	3.933681
532	NA	4.792675
533	NA	4.665988
534	NA	4.5030355
536	NA	4.2621155
537	NA	4.4993634
539	NA	4.5062785
540	NA	4.5431294
543	NA	4.747964
544	NA	4.859356
546	NA	4.843461
547	NA	4.1385846
549	NA	4.05991
553	NA	4.2885203
554	NA	4.8795176
558	NA	4.9369006
559	NA	4.845125
562	NA	4.1044917
563	NA	4.12367
566	NA	4.0796847
567	NA	4.906136
569	NA	4.7808957
571	NA	4.630861
572	NA	4.8458247
573	NA	4.4733953
574	NA	4.3023467
575	NA	4.5703917
