pair_ID	entailment_judgment	relatedness_score
6	NEUTRAL	2.86461007248
7	NEUTRAL	3.36697050937
8	NEUTRAL	3.11047394963
10	ENTAILMENT	4.49821427964
11	NEUTRAL	4.13507133613
13	NEUTRAL	3.14584079628
15	NEUTRAL	2.73093818316
16	NEUTRAL	2.3454873024
17	NEUTRAL	2.34069422722
19	ENTAILMENT	4.7056160637
20	NEUTRAL	3.61755265905
21	NEUTRAL	3.71681570339
22	ENTAILMENT	4.57048291456
23	CONTRADICTION	3.52524173258
27	NEUTRAL	2.17128078378
29	NEUTRAL	2.74685368607
31	CONTRADICTION	3.60154837235
32	NEUTRAL	4.38863738926
33	NEUTRAL	3.83335536089
34	NEUTRAL	3.69801738831
36	NEUTRAL	2.26155290024
37	NEUTRAL	3.18163315276
38	NEUTRAL	2.91705174702
39	NEUTRAL	2.81200350503
41	NEUTRAL	3.97073590276
43	ENTAILMENT	4.56653520563
46	NEUTRAL	2.53332357895
48	NEUTRAL	2.44588781691
50	NEUTRAL	2.43949902871
51	NEUTRAL	2.40914697859
52	ENTAILMENT	4.70931304087
53	NEUTRAL	3.91947455643
54	NEUTRAL	3.82888148951
57	NEUTRAL	3.25459830724
59	NEUTRAL	3.6020223677
60	NEUTRAL	3.68272548018
61	NEUTRAL	3.16740814792
63	ENTAILMENT	4.36097977551
64	NEUTRAL	3.86238706368
66	NEUTRAL	3.82246751937
67	CONTRADICTION	3.64514765368
68	NEUTRAL	3.62791731057
69	NEUTRAL	3.88522761395
71	NEUTRAL	3.61928730599
74	ENTAILMENT	4.50199433146
75	NEUTRAL	3.74149672345
76	NEUTRAL	4.30192788371
80	NEUTRAL	2.97418910329
86	NEUTRAL	2.60369044197
89	ENTAILMENT	4.53608783528
92	NEUTRAL	2.24284953102
95	NEUTRAL	2.60196358267
96	NEUTRAL	2.15345109848
101	NEUTRAL	3.96489814954
102	NEUTRAL	3.46300517316
103	NEUTRAL	3.45468011776
104	NEUTRAL	3.58864663106
106	NEUTRAL	3.3974171229
108	NEUTRAL	4.02538702648
109	NEUTRAL	3.41432711383
110	NEUTRAL	3.81315282463
111	NEUTRAL	3.79668860588
114	NEUTRAL	2.095
115	NEUTRAL	2.44393791063
118	NEUTRAL	4.27409482951
121	ENTAILMENT	4.63524166552
123	NEUTRAL	3.0403950993
125	NEUTRAL	3.07533321797
128	NEUTRAL	2.99772652406
132	NEUTRAL	3.68208313474
134	ENTAILMENT	4.27879948413
135	NEUTRAL	2.79992190476
137	NEUTRAL	2.93639562972
138	NEUTRAL	2.36159649256
142	NEUTRAL	4.44299636826
143	NEUTRAL	3.6318419634
144	NEUTRAL	2.66463599977
145	NEUTRAL	1.46096580802
147	NEUTRAL	2.52638651776
149	NEUTRAL	4.05191891119
151	ENTAILMENT	4.46483274003
152	CONTRADICTION	3.56368061055
153	NEUTRAL	4.3339869747
154	CONTRADICTION	3.69557139443
155	NEUTRAL	3.82507495335
156	NEUTRAL	3.90600258786
157	ENTAILMENT	4.51224578214
158	ENTAILMENT	4.52544851535
160	NEUTRAL	4.20704647061
162	NEUTRAL	3.14342740819
165	NEUTRAL	3.14462028295
166	NEUTRAL	3.15687636251
167	ENTAILMENT	4.46074515763
168	NEUTRAL	3.76822489019
169	ENTAILMENT	4.62337995604
171	NEUTRAL	3.70327575556
172	ENTAILMENT	4.00201260618
174	NEUTRAL	3.74000488107
175	ENTAILMENT	4.51448127193
177	ENTAILMENT	3.96138303571
178	NEUTRAL	4.08310462861
179	NEUTRAL	3.85216873546
180	NEUTRAL	3.80086660678
181	NEUTRAL	4.07384696289
182	NEUTRAL	3.83760995062
187	NEUTRAL	3.26480968853
189	NEUTRAL	3.37766907229
190	NEUTRAL	3.44395742388
191	NEUTRAL	3.92166450355
193	NEUTRAL	4.08231759874
195	NEUTRAL	3.8888263472
196	CONTRADICTION	3.53502045125
198	NEUTRAL	3.71493557722
199	NEUTRAL	3.72215328048
203	NEUTRAL	3.91391374053
204	NEUTRAL	3.27510485884
206	NEUTRAL	3.67757783909
207	NEUTRAL	3.27346482347
208	NEUTRAL	3.67377989159
209	NEUTRAL	3.74264508357
210	CONTRADICTION	3.43221575942
212	NEUTRAL	3.77020328035
213	NEUTRAL	2.79722953413
214	NEUTRAL	2.77278192623
220	NEUTRAL	4.15665748056
221	NEUTRAL	4.00147805893
222	NEUTRAL	4.17169917744
229	ENTAILMENT	4.5542327705
230	NEUTRAL	3.54609954836
231	ENTAILMENT	4.55182039954
235	NEUTRAL	2.37352914863
239	NEUTRAL	2.42576566117
242	NEUTRAL	3.7994237871
243	NEUTRAL	3.81787145778
244	NEUTRAL	3.65456460826
245	NEUTRAL	3.78152455031
246	NEUTRAL	3.6415327898
247	NEUTRAL	3.41874078684
250	NEUTRAL	3.88822374969
251	NEUTRAL	3.82686182655
252	NEUTRAL	3.7650134543
255	CONTRADICTION	4.22071591552
261	NEUTRAL	2.73721365098
262	NEUTRAL	3.82436527193
263	NEUTRAL	3.75097047881
264	NEUTRAL	3.77474868643
267	NEUTRAL	3.01435352394
268	NEUTRAL	2.98657960619
270	NEUTRAL	3.29456477014
271	NEUTRAL	3.45654653495
274	NEUTRAL	4.11544442101
275	NEUTRAL	3.64328931356
278	NEUTRAL	3.02345746548
281	NEUTRAL	2.91186912029
282	ENTAILMENT	4.57435050552
284	NEUTRAL	4.03892680976
288	NEUTRAL	3.42313244891
290	NEUTRAL	3.34388079451
292	NEUTRAL	3.23463081819
294	NEUTRAL	3.88255006361
295	NEUTRAL	2.32647090998
297	NEUTRAL	2.213218
298	NEUTRAL	1.6517457957
299	NEUTRAL	2.47898342393
300	NEUTRAL	4.06400476713
306	NEUTRAL	2.88678207551
307	NEUTRAL	3.21352377555
308	NEUTRAL	3.24888421876
314	NEUTRAL	4.25836714286
316	NEUTRAL	2.57168929622
318	NEUTRAL	2.75869866667
319	NEUTRAL	2.85290310923
320	NEUTRAL	2.60652345394
321	NEUTRAL	2.65156468583
322	ENTAILMENT	4.56954092368
324	ENTAILMENT	4.45081329365
325	CONTRADICTION	3.34180754386
326	NEUTRAL	2.36667741769
328	NEUTRAL	2.26094715135
330	NEUTRAL	2.30361444301
334	NEUTRAL	3.96131829835
336	NEUTRAL	3.71537941923
337	NEUTRAL	2.25946712644
343	NEUTRAL	3.96348063786
345	NEUTRAL	3.36366259509
348	NEUTRAL	3.16239507862
349	NEUTRAL	3.38515034604
350	NEUTRAL	3.23957525322
352	NEUTRAL	3.77283989821
353	NEUTRAL	3.83454853566
355	NEUTRAL	3.63516646424
356	NEUTRAL	3.50051828652
357	NEUTRAL	3.48501936405
359	NEUTRAL	3.26253849368
364	NEUTRAL	4.02352441742
365	NEUTRAL	4.23649590386
368	NEUTRAL	3.78408801671
369	NEUTRAL	3.6294414065
371	NEUTRAL	4.12030284222
376	NEUTRAL	3.08496486889
383	NEUTRAL	3.74440783624
385	NEUTRAL	3.93721255721
386	NEUTRAL	3.51363927637
388	NEUTRAL	3.65615619818
389	NEUTRAL	3.73846621936
399	NEUTRAL	3.01268563088
400	NEUTRAL	3.26704575768
401	NEUTRAL	3.14280670004
405	NEUTRAL	2.93722931353
406	NEUTRAL	2.948735
407	NEUTRAL	1.76807833333
408	NEUTRAL	3.52528309524
411	NEUTRAL	4.17600597904
412	NEUTRAL	4.03559031443
414	NEUTRAL	3.87662734918
416	NEUTRAL	3.39815624678
418	NEUTRAL	3.42129592142
419	NEUTRAL	4.05603680936
420	NEUTRAL	3.56381260272
421	NEUTRAL	3.57734932425
424	NEUTRAL	4.00252404198
425	NEUTRAL	3.85676502976
426	NEUTRAL	4.26067404846
