pair_ID	entailment_judgment	relatedness_score
6	NEUTRAL	2.76404660373
7	NEUTRAL	3.28395211043
8	NEUTRAL	2.80816997926
10	ENTAILMENT	4.27291731186
11	ENTAILMENT	4.07057445889
13	NEUTRAL	3.29619770736
15	NEUTRAL	2.1123098703
16	NEUTRAL	2.28682741779
17	NEUTRAL	1.87314956863
19	ENTAILMENT	4.66007787343
20	ENTAILMENT	4.0787232619
21	ENTAILMENT	4.39233872243
22	ENTAILMENT	4.09904868831
23	NEUTRAL	3.90513516434
27	NEUTRAL	1.92611374479
29	NEUTRAL	2.64713016696
31	NEUTRAL	3.77178847195
32	ENTAILMENT	4.2011382449
33	ENTAILMENT	4.76891784588
34	NEUTRAL	3.85648213232
36	NEUTRAL	2.71241803435
37	NEUTRAL	3.72253636217
38	NEUTRAL	3.39583062785
39	NEUTRAL	3.62054276757
41	NEUTRAL	3.94848888706
43	ENTAILMENT	4.37661679473
46	NEUTRAL	3.38905073392
48	NEUTRAL	2.98724242304
50	NEUTRAL	3.69864005612
51	NEUTRAL	3.66363308954
52	NEUTRAL	3.86869993442
53	NEUTRAL	3.5985069882
54	NEUTRAL	3.5339587747
57	NEUTRAL	2.80713244342
59	NEUTRAL	3.66949430727
60	NEUTRAL	2.98074596828
61	NEUTRAL	2.43234931459
63	ENTAILMENT	4.50049473498
64	ENTAILMENT	4.14985767131
66	NEUTRAL	3.84091612951
67	ENTAILMENT	4.12992814661
68	NEUTRAL	3.13339840019
69	NEUTRAL	3.88789828935
71	NEUTRAL	3.67878842052
74	ENTAILMENT	4.53452137073
75	ENTAILMENT	4.65511986427
76	ENTAILMENT	4.44510445888
80	NEUTRAL	2.46812537091
86	NEUTRAL	3.3180585988
89	ENTAILMENT	4.43984849696
92	NEUTRAL	2.61797501275
95	NEUTRAL	2.43989570439
96	NEUTRAL	2.38528681495
101	NEUTRAL	3.96260897872
102	ENTAILMENT	4.09156454919
103	NEUTRAL	3.80962181486
104	NEUTRAL	3.74123729054
106	NEUTRAL	3.96381700616
108	NEUTRAL	3.78728000385
109	NEUTRAL	3.45619399826
110	ENTAILMENT	4.19186341049
111	ENTAILMENT	4.74529859281
114	NEUTRAL	3.02424837759
115	NEUTRAL	2.61815882128
118	ENTAILMENT	4.19217908829
121	ENTAILMENT	4.31874203033
123	NEUTRAL	3.32674153823
125	NEUTRAL	3.35450418269
128	NEUTRAL	3.37639659832
132	NEUTRAL	3.52340086976
134	NEUTRAL	3.59634629609
135	NEUTRAL	1.83585147259
137	NEUTRAL	2.59857576033
138	NEUTRAL	2.25301389583
142	ENTAILMENT	4.19213854475
143	NEUTRAL	3.75963720939
144	NEUTRAL	2.57245142768
145	NEUTRAL	2.49921649416
147	NEUTRAL	2.3788770699
149	ENTAILMENT	4.29836652566
151	ENTAILMENT	4.26454805832
152	ENTAILMENT	4.19410751577
153	ENTAILMENT	4.21081854404
154	NEUTRAL	3.71840663296
155	NEUTRAL	4.03244754299
156	NEUTRAL	3.79962157811
157	ENTAILMENT	4.62574873827
158	ENTAILMENT	4.43982309841
160	NEUTRAL	3.98074416254
162	NEUTRAL	3.30802937377
165	NEUTRAL	3.32494698262
166	NEUTRAL	3.85856636808
167	ENTAILMENT	4.0842749556
168	ENTAILMENT	4.05677397949
169	ENTAILMENT	4.60171069341
171	ENTAILMENT	4.37437037271
172	ENTAILMENT	4.57833968917
174	NEUTRAL	3.77539803291
175	ENTAILMENT	4.4930766434
177	ENTAILMENT	4.10983872221
178	ENTAILMENT	4.23012933359
179	NEUTRAL	3.97963843845
180	ENTAILMENT	4.46990249492
181	ENTAILMENT	4.11081380083
182	NEUTRAL	3.38434713702
187	NEUTRAL	3.27234283666
189	NEUTRAL	3.40047834105
190	NEUTRAL	3.6588812666
191	ENTAILMENT	4.08998734631
193	NEUTRAL	3.87845385591
195	NEUTRAL	3.91300517129
196	ENTAILMENT	4.15153670667
198	NEUTRAL	3.89351542597
199	ENTAILMENT	4.28590883508
203	NEUTRAL	3.8469270958
204	NEUTRAL	2.93287169191
206	NEUTRAL	3.98813634201
207	NEUTRAL	3.42549374919
208	ENTAILMENT	4.10166992689
209	NEUTRAL	3.91762338874
210	NEUTRAL	3.30352536472
212	NEUTRAL	3.87838348006
213	NEUTRAL	2.59819042344
214	NEUTRAL	2.90018393455
220	NEUTRAL	4.0146991433
221	NEUTRAL	3.8681426824
222	NEUTRAL	3.52020334616
229	ENTAILMENT	4.6592661357
230	NEUTRAL	3.68009103821
231	ENTAILMENT	4.45251484862
235	NEUTRAL	2.06715321219
239	NEUTRAL	2.70851861663
242	ENTAILMENT	4.40415914711
243	NEUTRAL	3.56924788323
244	NEUTRAL	3.75533563418
245	NEUTRAL	3.81246355895
246	NEUTRAL	2.70576803758
247	NEUTRAL	3.71821932668
250	NEUTRAL	3.83010068374
