pair_ID	relatedness_score	entailment_judgment
6	2.57921	NEUTRAL
7	3.23295	NEUTRAL
8	2.67497	NEUTRAL
10	4.62156	ENTAILMENT
11	3.89537	NEUTRAL
13	3.358	CONTRADICTION
15	2.38382	NEUTRAL
16	1.50255	NEUTRAL
17	1.51323	NEUTRAL
19	3.92438	NEUTRAL
20	3.67306	CONTRADICTION
21	3.39924	NEUTRAL
22	4.44693	ENTAILMENT
23	4.55649	ENTAILMENT
27	2.56391	NEUTRAL
29	3.17054	NEUTRAL
31	3.49567	CONTRADICTION
32	4.8248	ENTAILMENT
33	4.34141	ENTAILMENT
34	4.12267	ENTAILMENT
36	2.26452	NEUTRAL
37	3.7807	NEUTRAL
38	2.83089	NEUTRAL
39	2.77326	NEUTRAL
41	3.62035	NEUTRAL
43	3.60419	NEUTRAL
46	3.01783	NEUTRAL
48	2.57901	NEUTRAL
50	2.94303	NEUTRAL
51	3.04477	NEUTRAL
52	4.63024	ENTAILMENT
53	3.72179	NEUTRAL
54	4.57826	ENTAILMENT
57	3.6648	NEUTRAL
59	4.03332	NEUTRAL
60	3.50018	NEUTRAL
61	2.56583	NEUTRAL
63	4.59387	ENTAILMENT
64	3.67821	CONTRADICTION
66	3.91723	NEUTRAL
67	3.95638	CONTRADICTION
68	3.96883	NEUTRAL
69	4.03351	CONTRADICTION
71	3.37521	CONTRADICTION
74	3.92772	NEUTRAL
75	4.36968	ENTAILMENT
76	3.65021	NEUTRAL
80	3.1107	NEUTRAL
86	2.66132	NEUTRAL
89	4.6653	ENTAILMENT
92	3.16738	NEUTRAL
95	2.87331	NEUTRAL
96	2.15971	NEUTRAL
101	4.52148	ENTAILMENT
102	3.71693	NEUTRAL
103	4.48971	ENTAILMENT
104	3.80733	NEUTRAL
106	3.90004	NEUTRAL
108	3.40659	NEUTRAL
109	2.97272	NEUTRAL
110	4.37046	ENTAILMENT
111	3.50461	NEUTRAL
114	2.06778	NEUTRAL
115	2.64529	NEUTRAL
118	4.47535	ENTAILMENT
121	3.73999	NEUTRAL
123	3.4355	NEUTRAL
125	3.50135	NEUTRAL
128	3.43706	NEUTRAL
132	3.62093	CONTRADICTION
134	4.36607	ENTAILMENT
135	2.11232	NEUTRAL
137	2.17778	NEUTRAL
138	1.69288	NEUTRAL
142	3.99885	NEUTRAL
143	4.06571	ENTAILMENT
144	2.9174	NEUTRAL
145	2.04842	NEUTRAL
147	2.09793	NEUTRAL
149	3.88406	NEUTRAL
151	4.30548	ENTAILMENT
152	2.79263	NEUTRAL
153	4.30187	ENTAILMENT
154	3.82887	CONTRADICTION
155	4.25402	ENTAILMENT
156	4.37969	ENTAILMENT
157	4.33858	ENTAILMENT
158	3.81586	NEUTRAL
