pair_ID	entailment_judgment	relatedness_score
6	NEUTRAL	2.8030523358
7	NEUTRAL	3.5187521598
8	NEUTRAL	2.8268935456
10	ENTAILMENT	4.5746583342
11	ENTAILMENT	4.2813213099
13	CONTRADICTION	3.5282208256
15	NEUTRAL	2.4733035227
16	NEUTRAL	2.6286564413
17	NEUTRAL	2.6627857686
19	ENTAILMENT	5.0174434283
20	CONTRADICTION	3.9755767535
21	ENTAILMENT	4.3520388493
22	ENTAILMENT	4.4354139356
23	CONTRADICTION	4.1596018995
27	NEUTRAL	2.5300623162
29	NEUTRAL	3.1140477108
31	CONTRADICTION	3.7885771661
32	ENTAILMENT	4.542288645
33	ENTAILMENT	4.1586092172
34	ENTAILMENT	3.7901273707
36	NEUTRAL	2.7060024806
37	NEUTRAL	3.2449119682
38	NEUTRAL	3.0688588089
39	NEUTRAL	3.265346972
41	ENTAILMENT	4.7184178397
43	ENTAILMENT	4.8828022928
46	NEUTRAL	2.5059008443
48	NEUTRAL	2.592213399
50	NEUTRAL	2.8151155008
51	NEUTRAL	2.717260744
52	ENTAILMENT	4.7610860136
53	ENTAILMENT	3.9190865797
54	ENTAILMENT	4.1858534148
57	NEUTRAL	3.0734641586
59	NEUTRAL	3.6656121433
60	NEUTRAL	3.3224222323
61	NEUTRAL	2.6891185708
63	ENTAILMENT	4.700687035
64	CONTRADICTION	4.0128008625
66	NEUTRAL	4.013266526
67	CONTRADICTION	3.8433491432
68	NEUTRAL	3.7047592266
69	CONTRADICTION	4.0237387813
71	CONTRADICTION	3.8972910318
74	ENTAILMENT	4.4577673208
75	ENTAILMENT	4.0474523511
76	ENTAILMENT	4.605302448
80	NEUTRAL	2.7261201901
86	NEUTRAL	3.0711283634
89	ENTAILMENT	4.6290409597
92	NEUTRAL	2.4120277688
95	NEUTRAL	2.5518501761
96	NEUTRAL	2.387824817
101	ENTAILMENT	5.3440198323
102	NEUTRAL	2.9187643479
103	NEUTRAL	2.5098815962
104	NEUTRAL	3.0035887533
106	NEUTRAL	2.7318875869
108	NEUTRAL	3.826282153
109	NEUTRAL	3.2556536622
110	ENTAILMENT	4.2552689548
111	NEUTRAL	3.5803042151
114	NEUTRAL	2.4615504798
