pair_ID	entailment_judgment	relatedness_score
6	NA	3.5224323	0.6306080633706881
7	NA	4.2092667	0.8023166967723628
8	NA	4.11053	0.7776324199281704
10	NA	4.957854	0.9894635074525878
11	NA	4.9716115	0.9929029040137081
13	NA	3.312812	0.578203012619554
15	NA	3.4903364	0.6225841331911854
16	NA	3.0047383	0.5011845912508983
17	NA	2.9391968	0.48479921092959866
19	NA	4.895922	0.9739805788367921
20	NA	4.6239367	0.9059841124118521
21	NA	4.8976116	0.9744029083642017
22	NA	4.8636312	0.9659078218331789
23	NA	4.757342	0.9393354190707155
27	NA	3.9834003	0.745850084793489
29	NA	4.315474	0.8288685179778209
31	NA	4.464073	0.8660182729391023
32	NA	4.7174854	0.9293713218144817
33	NA	4.7386923	0.9346730382843255
34	NA	4.717749	0.9294372777316354
36	NA	4.0239615	0.7559903641986537
37	NA	4.148774	0.78719357303537
38	NA	3.791182	0.6977954964626053
39	NA	4.2721314	0.8180328938977831
41	NA	4.869875	0.967468732848204
43	NA	4.9118037	0.9779508725120161
46	NA	3.9655347	0.741383684726024
48	NA	3.9859583	0.7464895991972197
50	NA	3.9542892	0.7385723109342704
51	NA	4.029714	0.7574285090249422
52	NA	4.8315134	0.9578783924212914
53	NA	4.799752	0.9499380620082322
54	NA	4.280478	0.8201194636970692
57	NA	4.192448	0.7981119878265914
59	NA	4.222476	0.8056189620916874
60	NA	4.2223625	0.8055906839686309
61	NA	3.4922314	0.6230578167270113
63	NA	4.887428	0.9718569952641462
64	NA	4.298881	0.8247202374158291
66	NA	4.5002303	0.8750576328459685
67	NA	4.651666	0.9129165837408434
68	NA	4.4903626	0.8725907154405107
69	NA	4.388709	0.8471772079339028
71	NA	4.350064	0.8375159158383272
74	NA	4.887743	0.971935707045591
75	NA	4.837455	0.9593637457081094
76	NA	4.647089	0.9117722944942226
80	NA	3.689848	0.6724619798516446
86	NA	3.6478105	0.6619526171781993
89	NA	4.943104	0.9857759867571844
92	NA	3.6018069	0.650451748223275
95	NA	3.6253257	0.6563314399343181
96	NA	3.3302839	0.5825709634387345
101	NA	4.987425	0.9968561785604502
102	NA	4.2411566	0.8102890975354919
103	NA	3.687232	0.671808004560086
104	NA	3.7555964	0.6888991115011296
106	NA	3.6972048	0.674301208673346
108	NA	4.7085934	0.9271483397399042
