pair_ID	relatedness_score	entailment_judgment
6	3.25218	NEUTRAL
7	3.64014	NEUTRAL
8	3.25011	NEUTRAL
10	4.38192	ENTAILMENT
11	4.39251	ENTAILMENT
13	3.57406	NEUTRAL
15	2.00819	NEUTRAL
16	2.66493	CONTRADICTION
17	2.5685	NEUTRAL
19	4.28288	ENTAILMENT
20	3.86812	ENTAILMENT
21	4.30268	ENTAILMENT
22	4.21549	ENTAILMENT
23	4.13456	ENTAILMENT
27	2.75049	NEUTRAL
29	3.19129	NEUTRAL
31	3.95369	ENTAILMENT
32	3.94658	CONTRADICTION
33	4.14546	ENTAILMENT
34	3.76115	CONTRADICTION
36	2.60278	NEUTRAL
37	2.80003	NEUTRAL
38	3.17899	NEUTRAL
39	2.77349	NEUTRAL
41	4.26379	ENTAILMENT
43	4.13899	ENTAILMENT
46	3.4357	NEUTRAL
48	3.29779	NEUTRAL
50	3.45303	NEUTRAL
51	3.5858	NEUTRAL
52	4.2559	ENTAILMENT
53	4.21558	ENTAILMENT
54	4.03872	ENTAILMENT
57	3.50168	NEUTRAL
59	3.66599	NEUTRAL
60	3.51546	NEUTRAL
61	3.17897	NEUTRAL
63	4.24861	ENTAILMENT
64	4.13547	CONTRADICTION
66	3.94289	CONTRADICTION
67	4.18686	ENTAILMENT
68	3.64299	NEUTRAL
69	4.0413	ENTAILMENT
71	3.92673	CONTRADICTION
74	4.24966	ENTAILMENT
75	4.21259	ENTAILMENT
76	3.83038	NEUTRAL
80	3.2552	CONTRADICTION
86	3.04448	CONTRADICTION
89	4.22229	ENTAILMENT
92	2.93792	NEUTRAL
95	3.01491	NEUTRAL
96	3.00354	NEUTRAL
101	4.3019	ENTAILMENT
102	4.07384	ENTAILMENT
103	3.97116	ENTAILMENT
104	3.9695	ENTAILMENT
106	3.97151	ENTAILMENT
108	3.7713	CONTRADICTION
109	3.4833	NEUTRAL
110	3.82125	NEUTRAL
111	3.97992	CONTRADICTION
114	1.6433	NEUTRAL
115	2.05608	NEUTRAL
118	4.19703	ENTAILMENT
121	4.43258	ENTAILMENT
123	3.27047	NEUTRAL
125	3.21027	NEUTRAL
128	3.26678	NEUTRAL
132	3.98206	ENTAILMENT
134	3.69857	CONTRADICTION
135	2.83696	CONTRADICTION
