pair_ID	relatedness_score	entailment_judgment
6	2.3	NA
7	2.5	NA
8	4.4	NA
10	4.8	NA
11	4.7	NA
13	3.5	NA
15	1.4	NA
16	1.3	NA
17	1.3	NA
19	4.8	NA
20	3.5	NA
21	2.6	NA
22	3.7	NA
23	3.8	NA
27	2.4	NA
29	2.5	NA
31	4.6	NA
32	4.6	NA
33	4.8	NA
34	3.6	NA
36	1.5	NA
37	3.5	NA
38	3.5	NA
39	2.5	NA
41	3.6	NA
43	3.6	NA
46	3.4	NA
48	1.4	NA
50	1.3	NA
51	3.4	NA
52	4.8	NA
53	3.7	NA
54	3.6	NA
57	4.6	NA
59	4.6	NA
60	4.6	NA
61	1.5	NA
63	4.7	NA
64	4.7	NA
66	4.6	NA
67	3.8	NA
68	4.7	NA
69	4.7	NA
71	3.6	NA
74	4.8	NA
75	3.7	NA
76	4.6	NA
80	2.5	NA
86	2.4	NA
89	4.7	NA
92	1.5	NA
95	1.5	NA
96	1.5	NA
101	4.7	NA
102	3.6	NA
103	4.5	NA
104	3.5	NA
106	3.6	NA
108	3.6	NA
109	2.5	NA
110	4.7	NA
111	2.4	NA
114	1.4	NA
115	1.4	NA
118	4.7	NA
121	4.8	NA
123	2.4	NA
125	2.4	NA
128	2.4	NA
132	4.7	NA
134	4.7	NA
135	1.4	NA
137	3.5	NA
138	3.5	NA
142	4.5	NA
143	4.7	NA
144	2.4	NA
145	1.4	NA
147	1.4	NA
149	4.7	NA
151	4.8	NA
152	2.5	NA
153	4.7	NA
154	2.5	NA
155	3.6	NA
156	4.7	NA
157	4.7	NA
158	4.7	NA
160	4.6	NA
162	4.5	NA
165	1.5	NA
166	3.5	NA
167	4.7	NA
168	3.7	NA
169	3.7	NA
171	3.7	NA
172	3.6	NA
174	4.6	NA
175	4.6	NA
177	3.6	NA
178	5	NA
179	3.7	NA
180	4.6	NA
181	3.6	NA
182	4.8	NA
187	2.5	NA
189	2.4	NA
190	2.6	NA
191	5	NA
193	4.7	NA
195	4.7	NA
196	4.6	NA
198	4.6	NA
199	3.7	NA
203	3.6	NA
204	3.6	NA
206	3.5	NA
207	3.4	NA
208	3.6	NA
209	4.6	NA
210	3.5	NA
212	3.7	NA
213	1.4	NA
214	1.4	NA
220	4.7	NA
221	4.7	NA
222	4.6	NA
229	4.7	NA
230	3.4	NA
231	3.7	NA
235	1.3	NA
239	1.4	NA
242	4.7	NA
243	3.6	NA
244	4.7	NA
245	4.7	NA
246	3.6	NA
247	3.6	NA
250	3.6	NA
251	3.6	NA
252	3.6	NA
255	4.8	NA
261	2.6	NA
262	3.7	NA
263	4.7	NA
264	4.7	NA
267	3.6	NA
268	3.6	NA
270	2.5	NA
271	3.6	NA
274	4.7	NA
275	4.7	NA
278	3.5	NA
281	3.5	NA
282	4.8	NA
284	3.7	NA
288	4.6	NA
290	4.6	NA
292	4.5	NA
294	3.7	NA
295	2.4	NA
297	2.4	NA
298	1.4	NA
299	2.4	NA
300	4.7	NA
306	2.5	NA
307	2.5	NA
308	2.4	NA
314	4.7	NA
316	1.4	NA
318	1.4	NA
319	1.4	NA
