pair_ID	entailment_judgment	relatedness_score
66	ENTAILMENT	3.71536
8891	NEUTRAL	2.83917
2581	ENTAILMENT	4.7120084595
2373	CONTRADICTION	3.69738
1797	NEUTRAL	2.5363
4059	CONTRADICTION	4.59877
8670	ENTAILMENT	4.12583
4009	ENTAILMENT	3.84504
3475	NEUTRAL	3.75782
4129	NEUTRAL	3.63847
8673	NEUTRAL	3.0800359985
5328	ENTAILMENT	3.91804
2444	ENTAILMENT	4.42793
9105	ENTAILMENT	3.98884
1413	NEUTRAL	3.19856
2193	ENTAILMENT	3.78055
6016	NEUTRAL	3.58682
4192	NEUTRAL	3.23155
683	NEUTRAL	4.23614
6257	NEUTRAL	3.6877
6878	ENTAILMENT	4.43977
7409	NEUTRAL	2.99115
4097	ENTAILMENT	4.5200134992
9483	ENTAILMENT	4.16691
832	ENTAILMENT	3.77169
468	NEUTRAL	3.54537
1799	NEUTRAL	3.74591
8919	NEUTRAL	3.93976
4785	NEUTRAL	3.62292
1598	ENTAILMENT	4.36333
3240	CONTRADICTION	4.20037
4939	NEUTRAL	3.58478
6116	ENTAILMENT	4.9040029398
2733	ENTAILMENT	4.35799
1197	CONTRADICTION	4.56098
5884	NEUTRAL	3.47
2749	NEUTRAL	4.57377
158	ENTAILMENT	3.98257
5727	ENTAILMENT	4.0400239987
3082	ENTAILMENT	4.07759
840	NEUTRAL	3.44013
5070	NEUTRAL	1
2866	ENTAILMENT	3.7712
7715	ENTAILMENT	4.9040029398
2859	NEUTRAL	3.63716
7574	ENTAILMENT	4.10937
9987	NEUTRAL	1.82022
5622	CONTRADICTION	3.71214
3888	ENTAILMENT	3.98156
6574	NEUTRAL	3.00699
5915	NEUTRAL	2.95617
1209	CONTRADICTION	4.40406
3665	NEUTRAL	2.98883
4527	CONTRADICTION	4.51081
2750	ENTAILMENT	4.5200134992
2796	CONTRADICTION	4.32361
7071	NEUTRAL	3.62971
2002	ENTAILMENT	4.9040029398
7159	ENTAILMENT	3.91485
9655	NEUTRAL	3.01418
1735	NEUTRAL	3.6516
6821	ENTAILMENT	5
7443	CONTRADICTION	4.0400239987
8785	NEUTRAL	3.33668
4736	ENTAILMENT	3.70486
2101	NEUTRAL	2.1200359988
4758	NEUTRAL	3.7520288586
6223	ENTAILMENT	5
8144	NEUTRAL	3.53354
3555	ENTAILMENT	4.29985
6655	NEUTRAL	2.63098
714	ENTAILMENT	3.8375
3676	NEUTRAL	3.59408
3289	NEUTRAL	3.53267
472	NEUTRAL	2.991
635	NEUTRAL	3.43157
1683	ENTAILMENT	4.9040029398
569	ENTAILMENT	3.86816
4924	NEUTRAL	4.7120084595
684	NEUTRAL	3.66665
3813	CONTRADICTION	4.23649
3810	NEUTRAL	4.0400239987
4647	ENTAILMENT	4.68718
7439	ENTAILMENT	3.76979
8695	ENTAILMENT	4.9040029398
2013	NEUTRAL	2.1200359988
7920	NEUTRAL	3.42027
4629	NEUTRAL	1
8974	NEUTRAL	3.05772
3997	NEUTRAL	2.84595
9866	NEUTRAL	2.59506
778	ENTAILMENT	4.6052
8723	ENTAILMENT	4.13447
7536	ENTAILMENT	4.58444
2062	NEUTRAL	4.0400239987
314	CONTRADICTION	4.24524
271	ENTAILMENT	3.82213
7632	ENTAILMENT	4.5200134992
7407	ENTAILMENT	4.18468
590	NEUTRAL	3.49426
8550	ENTAILMENT	4.06787
2099	NEUTRAL	3.16773
7767	CONTRADICTION	4.59449
1204	ENTAILMENT	4.02833
2677	ENTAILMENT	4.08812
2546	ENTAILMENT	4.20302
29	NEUTRAL	2.63104
2178	ENTAILMENT	4.9040029398
8034	ENTAILMENT	4.5200134992
109	NEUTRAL	3.15216
9115	CONTRADICTION	4.4618
4741	NEUTRAL	3.56518
2074	NEUTRAL	3.55081
3527	ENTAILMENT	4.04607
517	NEUTRAL	3.5096
8865	NEUTRAL	3.0800359985
6633	NEUTRAL	4.0744
7806	ENTAILMENT	4.46458
7089	NEUTRAL	2.1200359988
2244	NEUTRAL	3.01411
4460	ENTAILMENT	4.12975
5021	CONTRADICTION	4.48429
8378	NEUTRAL	3.65437
195	NEUTRAL	3.49688
