pair_ID	entailment_judgment	relatedness_score
6	NA	3.392997
7	NA	3.5732915
8	NA	3.5030315
10	NA	4.4386864
11	NA	4.445223
13	NA	3.533651
15	NA	3.0756073
16	NA	2.6992998
17	NA	2.6885564
19	NA	4.4176574
20	NA	4.2443924
21	NA	4.466095
22	NA	4.350937
23	NA	4.2747717
27	NA	3.358466
29	NA	3.66782
31	NA	4.1455946
32	NA	4.3134327
33	NA	4.3148484
34	NA	4.066478
36	NA	3.2972853
37	NA	3.8647797
38	NA	3.7923064
39	NA	3.8942146
41	NA	4.229564
43	NA	4.4544168
46	NA	3.6866612
48	NA	3.1250033
50	NA	3.6290634
51	NA	3.6341193
52	NA	4.3625093
53	NA	4.290106
54	NA	4.231717
57	NA	3.4926033
59	NA	3.5980964
60	NA	3.5010047
61	NA	3.185158
63	NA	4.3515754
64	NA	4.0120416
66	NA	4.1827
67	NA	4.2431617
68	NA	4.1037207
69	NA	4.0653358
71	NA	4.1069875
74	NA	4.3463664
75	NA	4.440202
76	NA	4.2980614
80	NA	3.081831
86	NA	3.2217999
89	NA	4.373098
92	NA	3.2763207
95	NA	3.4394255
96	NA	2.99898
101	NA	4.4216104
102	NA	4.018934
103	NA	3.6208048
104	NA	3.67704
106	NA	3.6676643
108	NA	4.1183834
109	NA	3.611616
110	NA	4.306484
111	NA	4.2250185
114	NA	2.844256
115	NA	2.61552
118	NA	4.2838755
121	NA	4.445393
123	NA	3.5894437
125	NA	3.679812
128	NA	3.6514328
132	NA	4.2577443
134	NA	4.0897717
135	NA	3.5066094
137	NA	3.487822
138	NA	3.5219052
142	NA	4.167825
143	NA	3.9358275
144	NA	3.3961341
145	NA	2.4785004
147	NA	3.0833645
149	NA	4.3389935
151	NA	4.264035
152	NA	3.8013542
153	NA	4.171686
154	NA	3.7551098
155	NA	4.186038
156	NA	4.1502447
157	NA	4.396657
158	NA	4.462004
160	NA	4.182258
162	NA	3.9258623
165	NA	4.0353303
166	NA	4.0174026
167	NA	4.2585344
168	NA	4.142353
169	NA	4.438138
171	NA	4.4254594
172	NA	4.07709
174	NA	4.014239
175	NA	4.057674
177	NA	3.9971309
178	NA	4.31931
179	NA	4.052242
180	NA	4.4352164
181	NA	4.275962
182	NA	4.3080416
187	NA	3.4113412
189	NA	3.397086
190	NA	3.4694006
191	NA	4.2232895
193	NA	4.384369
195	NA	4.0118794
196	NA	3.9397585
198	NA	3.720959
199	NA	3.9490206
203	NA	4.232804
204	NA	3.8026898
206	NA	3.890752
207	NA	3.8164485
208	NA	3.963191
209	NA	4.3363304
210	NA	3.923118
212	NA	4.1343293
213	NA	3.2260807
214	NA	3.3872516
220	NA	4.095967
221	NA	4.365804
222	NA	4.5
229	NA	4.3703885
230	NA	3.7601058
231	NA	4.3706603
235	NA	3.14368
239	NA	3.2054472
242	NA	4.236708
243	NA	4.3328047
244	NA	4.2987804
245	NA	4.4156537
246	NA	3.898079
247	NA	3.9966125
250	NA	4.0319514
251	NA	3.847278
252	NA	4.003225
255	NA	4.437357
261	NA	3.8320425
262	NA	4.256434
263	NA	4.2830515
264	NA	4.2903786
267	NA	3.6905181
268	NA	3.597205
270	NA	3.4126492
271	NA	3.918099
274	NA	4.3906584
275	NA	4.0572143
278	NA	3.659687
281	NA	3.355674
282	NA	4.332053
284	NA	4.0158525
288	NA	3.6244283
290	NA	3.6627035
292	NA	3.8860588
294	NA	4.3142433
295	NA	3.538003
297	NA	3.5187628
298	NA	3.5101333
299	NA	3.5680852
300	NA	4.3334527
306	NA	3.3835757
307	NA	3.4126198
308	NA	3.405499
314	NA	4.3951626
316	NA	3.6880744
318	NA	3.7935336
319	NA	3.7869513
320	NA	3.7068307
321	NA	3.7388866
322	NA	4.449067
324	NA	3.9288833
325	NA	3.5317473
326	NA	3.533251
328	NA	3.0830019
330	NA	3.0784557
334	NA	4.413511
336	NA	3.7829833
337	NA	3.4934585
343	NA	4.197123
345	NA	3.696919
348	NA	3.711198
349	NA	3.8756695
350	NA	3.9207847
352	NA	4.2683773
353	NA	4.408038
355	NA	3.8427002
356	NA	3.5382042
357	NA	3.892951
359	NA	3.4367626
364	NA	4.2486987
365	NA	4.3703947
368	NA	4.0574193
369	NA	4.060523
371	NA	4.3759866
376	NA	3.8334165
383	NA	4.1793756
385	NA	4.335001
386	NA	3.974085
388	NA	4.161855
389	NA	4.125498
399	NA	3.8186312
400	NA	3.8956833
401	NA	3.8916485
405	NA	4.2364054
406	NA	2.6811094
407	NA	2.737446
408	NA	3.212068
411	NA	4.355303
412	NA	3.9690504
414	NA	4.234424
416	NA	3.8459277
418	NA	3.8570535
419	NA	4.0904446
420	NA	3.9653645
421	NA	3.956855
424	NA	4.1184497
425	NA	3.920067
426	NA	4.387159
429	NA	4.2053113
430	NA	3.9921825
431	NA	4.129307
432	NA	4.148503
433	NA	4.208478
437	NA	3.3876872
443	NA	4.0985665
444	NA	4.3163347
445	NA	3.8209717
448	NA	3.9339738
452	NA	3.8650973
453	NA	4.2744365
455	NA	3.8002717
456	NA	3.8666694
458	NA	3.3856628
459	NA	3.639701
460	NA	3.7292447
463	NA	4.150024
464	NA	4.2831097
466	NA	4.235478
467	NA	3.749577
468	NA	3.5607152
469	NA	4.278682
471	NA	3.8671498
472	NA	3.7618484
474	NA	4.109879
478	NA	3.4359283
479	NA	3.386401
480	NA	3.3565981
481	NA	3.5989952
482	NA	4.440463
483	NA	3.7232594
487	NA	4.1545258
488	NA	3.9873526
490	NA	4.0756874
492	NA	4.2345057
493	NA	4.1359816
495	NA	4.093306
498	NA	3.7874815
501	NA	3.6039057
502	NA	4.274707
503	NA	4.2721224
504	NA	4.0253353
509	NA	3.641986
510	NA	3.5287213
511	NA	3.4666915
512	NA	3.656242
517	NA	4.0511866
518	NA	4.4443736
519	NA	4.4421883
521	NA	3.7972133
523	NA	3.6297917
525	NA	3.433681
532	NA	4.292675
533	NA	4.165988
534	NA	4.0030355
536	NA	3.7621152
537	NA	3.9993632
539	NA	4.0062785
540	NA	4.0431294
543	NA	4.247964
544	NA	4.359356
546	NA	4.343461
547	NA	3.6385849
549	NA	3.5599096
553	NA	3.7885203
554	NA	4.3795176
558	NA	4.4369006
559	NA	4.345125
562	NA	3.6044917
563	NA	3.62367
566	NA	3.5796847
567	NA	4.406136
569	NA	4.2808957
571	NA	4.130861
572	NA	4.3458247
573	NA	3.9733953
574	NA	3.802347
575	NA	4.0703917
576	NA	4.0030513
577	NA	4.1416554
578	NA	3.9881454
579	NA	4.130017
580	NA	4.431057
582	NA	4.4270663
583	NA	4.1984434
584	NA	4.388607
585	NA	3.9814713
589	NA	4.1657214
590	NA	4.211059
591	NA	4.3902884
593	NA	4.303292
594	NA	4.3124857
595	NA	3.8781168
596	NA	3.6359353
598	NA	3.7023127
600	NA	4.458135
602	NA	3.9278674
607	NA	3.6698947
608	NA	3.7067957
610	NA	3.414489
612	NA	3.7815568
613	NA	4.4652615
614	NA	4.3299274
615	NA	4.290775
616	NA	3.9631195
618	NA	3.8265636
620	NA	3.2084281
623	NA	3.5409763
624	NA	3.590845
627	NA	4.1705565
633	NA	3.7177577
635	NA	3.8001432
636	NA	3.7050786
639	NA	4.461376
640	NA	4.1650906
642	NA	4.329052
644	NA	3.502594
652	NA	4.3801694
654	NA	3.9307723
656	NA	4.3229957
658	NA	3.8225398
659	NA	3.8018599
662	NA	3.8218787
664	NA	3.8899105
665	NA	4.393424
666	NA	4.145076
667	NA	4.3141637
669	NA	4.1539984
670	NA	3.7040796
673	NA	3.6241155
674	NA	3.5691612
675	NA	3.4113593
677	NA	4.399722
681	NA	4.26966
682	NA	3.792609
683	NA	3.8294506
684	NA	3.5226693
686	NA	3.776649
688	NA	3.812522
694	NA	4.1040244
695	NA	3.9278033
700	NA	3.9365792
701	NA	3.9613583
705	NA	3.7886083
706	NA	3.6384287
707	NA	3.6537864
708	NA	3.0611413
710	NA	3.3470647
711	NA	3.3482912
712	NA	3.4984536
713	NA	4.3610206
714	NA	3.9389393
716	NA	4.327742
719	NA	2.9522812
720	NA	2.9510493
721	NA	2.5557175
724	NA	3.1111465
726	NA	4.3110585
739	NA	4.423984
740	NA	3.7861416
742	NA	4.214647
743	NA	3.421281
744	NA	3.2020097
750	NA	3.8951144
751	NA	3.60087
753	NA	4.366773
755	NA	3.8673122
756	NA	3.7424495
758	NA	4.0360456
763	NA	4.123253
767	NA	3.619741
770	NA	3.5405529
771	NA	3.6997826
773	NA	4.3946247
775	NA	4.330591
776	NA	3.4583457
778	NA	3.4191558
779	NA	3.6270263
781	NA	4.2645564
782	NA	4.2205653
786	NA	3.996421
787	NA	3.4639673
788	NA	3.3642287
790	NA	3.4654999
794	NA	4.4204717
795	NA	4.365995
798	NA	4.0493145
800	NA	3.1614842
801	NA	3.8255725
803	NA	3.5812886
805	NA	4.1328206
806	NA	4.4026184
807	NA	4.048015
808	NA	4.2095585
809	NA	4.066092
810	NA	3.5287716
814	NA	3.3705447
815	NA	3.4806066
817	NA	4.3769865
818	NA	4.3321776
819	NA	4.2030106
821	NA	3.2132785
823	NA	3.001852
826	NA	3.0029302
828	NA	4.39189
829	NA	4.3066664
832	NA	4.212768
833	NA	3.5513244
834	NA	3.5808861
835	NA	3.618621
837	NA	3.7270763
838	NA	3.795037
840	NA	4.1307726
842	NA	4.2155128
843	NA	4.3749614
847	NA	3.842441
849	NA	3.8654003
850	NA	3.8662567
853	NA	4.2513156
854	NA	3.6905804
856	NA	4.454332
861	NA	3.3535576
863	NA	3.8977544
865	NA	4.1332192
871	NA	3.6309862
875	NA	4.00688
877	NA	4.318889
884	NA	3.0004535
885	NA	3.434952
886	NA	3.3304262
890	NA	4.1700196
891	NA	3.6119976
894	NA	3.9931886
896	NA	3.6806076
897	NA	3.3612492
900	NA	4.3298445
901	NA	4.328354
903	NA	4.2079954
905	NA	3.8464758
907	NA	3.829651
911	NA	3.8755546
912	NA	4.42349
914	NA	4.305004
916	NA	4.155126
918	NA	2.7755952
919	NA	2.8888183
921	NA	2.9545562
923	NA	4.12453
