pair_ID	entailment_judgment	relatedness_score
6	NEUTRAL	2.21353996736
7	NEUTRAL	3.24718237914
8	NEUTRAL	2.70265322637
10	ENTAILMENT	4.59901586606
11	NEUTRAL	4.19643384063
13	CONTRADICTION	3.88354101899
15	NEUTRAL	2.29438923302
16	NEUTRAL	2.22555054128
17	NEUTRAL	2.25401046526
19	ENTAILMENT	4.47411136082
20	NEUTRAL	3.49035990392
21	NEUTRAL	4.26642956966
22	ENTAILMENT	4.49248476808
23	CONTRADICTION	3.92598600124
27	NEUTRAL	1.89953593293
29	NEUTRAL	2.5792921283
31	CONTRADICTION	3.9101854489
32	ENTAILMENT	4.06765141807
33	ENTAILMENT	4.25476383993
34	NEUTRAL	3.97344892702
36	NEUTRAL	3.42803123636
37	NEUTRAL	3.62771604423
38	NEUTRAL	3.05862451289
39	NEUTRAL	3.42824953024
41	NEUTRAL	4.21430136159
43	NEUTRAL	4.22908241604
46	NEUTRAL	3.13049808387
48	NEUTRAL	2.91591942547
50	NEUTRAL	3.07857856534
51	NEUTRAL	3.06115533278
52	ENTAILMENT	4.77984253904
53	NEUTRAL	4.06037363271
54	NEUTRAL	4.01879957266
57	NEUTRAL	3.34738193982
59	NEUTRAL	3.72825399228
60	NEUTRAL	3.79382853181
61	NEUTRAL	3.58697152087
63	NEUTRAL	4.20813594064
64	CONTRADICTION	3.84871629472
66	NEUTRAL	3.93469518868
67	CONTRADICTION	3.80496650508
68	NEUTRAL	3.74049224481
69	NEUTRAL	3.58279232169
71	CONTRADICTION	3.48791995247
74	NEUTRAL	4.38173347288
75	NEUTRAL	3.60380302734
76	ENTAILMENT	4.17458066893
80	NEUTRAL	2.6759015185
86	NEUTRAL	3.35782967027
89	ENTAILMENT	4.65298851493
92	NEUTRAL	2.69149948209
95	NEUTRAL	2.57487624102
96	NEUTRAL	2.3193944683
101	CONTRADICTION	3.98474023379
102	NEUTRAL	3.87446308031
103	NEUTRAL	3.75716066718
104	NEUTRAL	3.82085474395
106	NEUTRAL	3.75154171077
108	NEUTRAL	3.96862991066
109	NEUTRAL	2.91254654567
110	ENTAILMENT	3.97848043453
111	NEUTRAL	3.56551455434
114	NEUTRAL	2.00007277543
115	NEUTRAL	1.04412823326
118	ENTAILMENT	4.47274178519
121	ENTAILMENT	4.51371896573
123	NEUTRAL	2.84256748762
125	NEUTRAL	2.77914971605
128	NEUTRAL	2.86590845806
132	CONTRADICTION	3.64971946369
134	ENTAILMENT	4.21964975736
135	NEUTRAL	2.4857656681
137	NEUTRAL	3.00396349487
138	NEUTRAL	1.65325821611
142	ENTAILMENT	4.41039580377
143	CONTRADICTION	3.74232614674
144	NEUTRAL	2.61497674244
145	NEUTRAL	1.79102230982
147	NEUTRAL	2.49727229488
149	ENTAILMENT	4.20465104139
151	ENTAILMENT	4.6007833853
152	CONTRADICTION	3.45581386427
153	ENTAILMENT	4.34087449257
154	CONTRADICTION	3.50654735854
155	ENTAILMENT	4.15743036804
156	CONTRADICTION	3.46962295255
