pair_ID	entailment_judgment	relatedness_score
6	NA	4.2364407
7	NA	3.9631624
8	NA	4.159154
10	NA	4.5
11	NA	4.5
13	NA	3.5651925
15	NA	4.286015
16	NA	3.577135
17	NA	3.577037
19	NA	4.4999924
20	NA	4.4696
21	NA	4.416874
22	NA	4.2510705
23	NA	4.4873238
27	NA	3.8570178
29	NA	3.9818397
31	NA	4.4903216
32	NA	3.8523824
33	NA	4.48844
34	NA	4.4886928
36	NA	4.4432654
37	NA	4.466842
38	NA	4.4837112
39	NA	3.958043
41	NA	4.499996
43	NA	4.4981437
46	NA	4.409646
48	NA	4.410426
50	NA	4.419447
51	NA	4.4100857
52	NA	4.4999957
53	NA	4.4999986
54	NA	3.644819
57	NA	4.4294252
59	NA	4.429231
60	NA	4.4294543
61	NA	3.219239
63	NA	4.4999967
64	NA	4.3994813
66	NA	4.2300334
67	NA	4.4236536
68	NA	4.3725967
69	NA	4.381066
71	NA	4.3811717
74	NA	4.499989
75	NA	4.24388
76	NA	4.452972
80	NA	4.3193436
86	NA	4.3765664
89	NA	4.4999995
92	NA	4.265676
95	NA	4.2650776
96	NA	4.2390037
101	NA	4.5
102	NA	4.474247
103	NA	3.7597442
104	NA	3.7590728
106	NA	3.7597847
108	NA	4.4942446
109	NA	3.8641887
110	NA	4.499868
111	NA	4.293967
114	NA	2.5433717
115	NA	3.7229905
118	NA	4.4636607
121	NA	4.4999995
123	NA	3.339967
125	NA	3.0009847
128	NA	3.3399782
132	NA	4.493643
134	NA	4.4905095
135	NA	4.221064
137	NA	4.058905
138	NA	4.266549
142	NA	4.456551
143	NA	4.3132987
144	NA	4.0073414
145	NA	4.1184707
147	NA	2.9042218
149	NA	4.2790313
151	NA	4.4999967
152	NA	3.4640403
153	NA	4.498978
154	NA	3.506283
155	NA	4.286929
156	NA	4.1731462
157	NA	4.498895
158	NA	4.0722923
160	NA	4.4919534
162	NA	3.8538966
165	NA	3.7846045
166	NA	3.787178
167	NA	4.499989
168	NA	4.4999995
169	NA	4.4999933
171	NA	4.4932327
172	NA	4.4888725
174	NA	4.470034
175	NA	4.488625
177	NA	4.4887166
178	NA	4.499089
179	NA	4.4779186
180	NA	4.4859695
181	NA	4.49495
182	NA	4.495231
187	NA	4.3706603
189	NA	4.4014583
190	NA	4.374543
191	NA	4.4452276
193	NA	4.4945536
195	NA	4.447275
196	NA	4.4259796
198	NA	4.435243
199	NA	4.464358
203	NA	4.4994183
204	NA	4.3986487
206	NA	4.3979144
207	NA	4.3426065
208	NA	4.397922
209	NA	4.4942203
210	NA	4.4724946
212	NA	4.4999847
213	NA	3.620302
214	NA	3.6177979
220	NA	4.5
221	NA	4.1322446
222	NA	4.5
229	NA	4.5
230	NA	4.25416
231	NA	4.499997
235	NA	3.9762022
239	NA	4.226291
242	NA	4.4999547
243	NA	4.4825478
244	NA	4.4723887
245	NA	4.42558
246	NA	4.2144947
247	NA	4.2079883
250	NA	4.2641535
251	NA	4.264326
252	NA	4.2629457
255	NA	4.4866495
261	NA	4.42016
262	NA	4.4813695
263	NA	4.5
264	NA	4.394955
267	NA	4.1742697
268	NA	4.202687
270	NA	4.1710386
271	NA	4.420698
274	NA	4.4130087
275	NA	4.499999
278	NA	4.365753
281	NA	4.368671
282	NA	4.5
284	NA	4.4859495
288	NA	4.371745
290	NA	4.3717227
292	NA	4.0963116
294	NA	4.5
295	NA	3.4474878
297	NA	3.4688723
298	NA	3.3456314
299	NA	3.4434981
300	NA	4.480442
306	NA	4.431643
307	NA	4.2416763
308	NA	4.240631
314	NA	4.4997673
316	NA	4.376117
318	NA	4.3839436
319	NA	4.3329744
320	NA	4.342943
321	NA	4.332757
322	NA	4.5
324	NA	4.49999
325	NA	4.419534
326	NA	4.332254
328	NA	4.330723
330	NA	4.330749
334	NA	4.5
336	NA	3.406996
337	NA	4.1542115
343	NA	4.3533816
345	NA	4.0891705
348	NA	4.4394093
349	NA	4.3801
350	NA	4.380092
352	NA	4.4807177
353	NA	4.4903092
355	NA	4.161921
356	NA	4.1817603
357	NA	4.3464546
359	NA	4.085599
364	NA	4.499802
365	NA	4.1485906
368	NA	4.31047
369	NA	4.277287
371	NA	4.5
376	NA	4.492938
383	NA	4.447687
385	NA	4.499996
386	NA	4.2921925
388	NA	4.4778595
389	NA	4.4868813
399	NA	4.1774063
400	NA	4.235998
401	NA	4.310311
405	NA	4.499925
406	NA	3.8389447
407	NA	4.0827785
408	NA	4.0784264
411	NA	4.490005
412	NA	4.2688503
414	NA	4.3954763
416	NA	3.7775388
418	NA	4.2290387
419	NA	3.8846195
420	NA	4.118378
421	NA	4.150358
424	NA	4.492088
425	NA	4.359517
426	NA	3.1864598
429	NA	4.488555
430	NA	3.655637
431	NA	3.0879784
432	NA	2.972323
433	NA	4.4944444
437	NA	4.2652497
443	NA	4.496438
444	NA	4.096723
445	NA	4.438929
448	NA	4.119523
452	NA	4.120728
453	NA	4.418673
455	NA	4.4539137
456	NA	3.5556383
458	NA	4.054853
459	NA	4.0994987
460	NA	4.2295313
463	NA	4.383334
464	NA	4.499996
466	NA	4.4760537
467	NA	4.378978
468	NA	4.3771176
469	NA	4.4999933
471	NA	4.288296
472	NA	4.2891083
474	NA	4.431197
478	NA	4.3016357
479	NA	4.3243823
480	NA	4.4061074
481	NA	4.324588
482	NA	4.499995
483	NA	4.115428
487	NA	4.0291023
488	NA	4.029037
490	NA	4.028652
492	NA	4.489862
493	NA	4.411101
495	NA	3.9422917
498	NA	4.1044226
501	NA	3.9944925
502	NA	4.268899
503	NA	4.143125
504	NA	4.448618
509	NA	4.3487196
510	NA	4.3477006
511	NA	4.4742074
512	NA	4.4172063
517	NA	4.3772182
518	NA	4.5
519	NA	4.487625
521	NA	4.3450866
